4 , 23/10/2012 04:45:07:400 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101290701Default Amount :3542.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091878201Default Amount :30000.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100522201Approved Application Amount :110000.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090918301Approved Application Amount :475000.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100522201Claim Applied Amount :89129.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090918301Claim Applied Amount :279233.0
4 , 23/10/2012 04:45:07:618 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100522201Recovered Amount :0.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090918301Recovered Amount :0.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100522201Default Amount :101159.0
4 , 23/10/2012 04:45:07:634 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090918301Default Amount :7004.0
4 , 23/10/2012 04:45:07:634 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:634 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:634 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:634 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:696 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:696 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091557601Oustanding Amount :80000.0
4 , 23/10/2012 04:45:07:696 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091557601Approved Application Amount :80000.0
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091557601Claim Applied Amount :68000.0
4 , 23/10/2012 04:45:07:712 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091557601Recovered Amount :0.0
4 , 23/10/2012 04:45:07:712 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090677801Oustanding Amount :121801.0
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091557601Default Amount :83473.0
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100688601Oustanding Amount :164295.0
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090677801Approved Application Amount :150000.0
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100688601Approved Application Amount :215000.0
4 , 23/10/2012 04:45:07:727 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090677801Claim Applied Amount :121553.0
4 , 23/10/2012 04:45:07:727 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:727 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100688601Claim Applied Amount :215000.0
4 , 23/10/2012 04:45:07:727 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090677801Recovered Amount :0.0
4 , 23/10/2012 04:45:07:790 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100688601Recovered Amount :0.0
4 , 23/10/2012 04:45:07:790 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090677801Default Amount :92129.0
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100688601Default Amount :427500.0
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091220201Oustanding Amount :50000.0
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:805 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091220201Approved Application Amount :50000.0
4 , 23/10/2012 04:45:07:821 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:821 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:821 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091220201Claim Applied Amount :42500.0
4 , 23/10/2012 04:45:07:821 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091220201Recovered Amount :0.0
4 , 23/10/2012 04:45:07:821 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091220201Default Amount :80000.0
4 , 23/10/2012 04:45:07:821 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:821 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:883 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:883 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:899 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:899 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091213901Oustanding Amount :77949.0
4 , 23/10/2012 04:45:07:899 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091734901Oustanding Amount :70000.0
4 , 23/10/2012 04:45:07:899 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090188501Oustanding Amount :386150.0
4 , 23/10/2012 04:45:07:899 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091213901Approved Application Amount :108000.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091734901Approved Application Amount :70000.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090188501Approved Application Amount :500000.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091213901Claim Applied Amount :51490.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091734901Claim Applied Amount :59500.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090188501Claim Applied Amount :328227.5
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091213901Recovered Amount :0.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091734901Recovered Amount :0.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090188501Recovered Amount :0.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091213901Default Amount :121801.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091734901Default Amount :50000.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090188501Default Amount :164295.0
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:915 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:930 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:930 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:930 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:930 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:993 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:993 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100100901Oustanding Amount :40000.0
4 , 23/10/2012 04:45:07:993 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100100901Approved Application Amount :40000.0
4 , 23/10/2012 04:45:08:008 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:008 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100100901Claim Applied Amount :34000.0
4 , 23/10/2012 04:45:08:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091232801Oustanding Amount :201473.0
4 , 23/10/2012 04:45:08:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100876401Oustanding Amount :38043.0
4 , 23/10/2012 04:45:08:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100100901Recovered Amount :0.0
4 , 23/10/2012 04:45:08:024 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091232801Approved Application Amount :240000.0
4 , 23/10/2012 04:45:08:024 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100876401Approved Application Amount :40000.0
4 , 23/10/2012 04:45:08:024 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100100901Default Amount :77949.0
4 , 23/10/2012 04:45:08:024 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091232801Claim Applied Amount :202676.0
4 , 23/10/2012 04:45:08:024 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100876401Claim Applied Amount :30000.0
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091232801Recovered Amount :0.0
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100876401Recovered Amount :0.0
4 , 23/10/2012 04:45:08:039 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091232801Default Amount :70000.0
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100876401Default Amount :386150.0
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:039 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:039 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:039 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:102 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:102 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091815701Oustanding Amount :70000.0
4 , 23/10/2012 04:45:08:102 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091815701Approved Application Amount :70000.0
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091815701Claim Applied Amount :59500.0
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091815701Recovered Amount :0.0
4 , 23/10/2012 04:45:08:117 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:117 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091815701Default Amount :40000.0
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101114301Oustanding Amount :96000.0
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090032501Oustanding Amount :71818.0
4 , 23/10/2012 04:45:08:117 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101114301Approved Application Amount :96000.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090032501Approved Application Amount :87324.0
4 , 23/10/2012 04:45:08:133 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101114301Claim Applied Amount :96000.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090032501Claim Applied Amount :45650.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101114301Recovered Amount :0.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090032501Recovered Amount :0.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101114301Default Amount :201473.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090032501Default Amount :38043.0
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:133 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:133 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:133 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:195 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:195 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090491201Oustanding Amount :50000.0
4 , 23/10/2012 04:45:08:195 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090491201Approved Application Amount :50000.0
4 , 23/10/2012 04:45:08:211 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090491201Claim Applied Amount :42500.0
4 , 23/10/2012 04:45:08:211 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101826701Oustanding Amount :23895.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090491201Recovered Amount :0.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101102301Oustanding Amount :6958.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101826701Approved Application Amount :25000.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090491201Default Amount :70000.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101102301Approved Application Amount :7150.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101826701Claim Applied Amount :19116.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101102301Claim Applied Amount :5269.0
4 , 23/10/2012 04:45:08:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101826701Recovered Amount :0.0
4 , 23/10/2012 04:45:08:227 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:227 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101102301Recovered Amount :0.0
4 , 23/10/2012 04:45:08:227 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101826701Default Amount :96000.0
4 , 23/10/2012 04:45:08:227 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101102301Default Amount :71818.0
4 , 23/10/2012 04:45:08:227 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:227 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:227 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:227 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:289 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:289 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090674701Oustanding Amount :25000.0
4 , 23/10/2012 04:45:08:289 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090674701Approved Application Amount :25000.0
4 , 23/10/2012 04:45:08:305 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:305 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090674701Claim Applied Amount :21250.0
4 , 23/10/2012 04:45:08:305 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090594301Oustanding Amount :9479.0
4 , 23/10/2012 04:45:08:305 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090674701Recovered Amount :0.0
4 , 23/10/2012 04:45:08:305 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:305 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090594301Approved Application Amount :15000.0
4 , 23/10/2012 04:45:08:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090674701Default Amount :50000.0
4 , 23/10/2012 04:45:08:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR110139801Oustanding Amount :1768000.0
4 , 23/10/2012 04:45:08:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090594301Claim Applied Amount :7109.0
4 , 23/10/2012 04:45:08:320 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR110139801Approved Application Amount :1768000.0
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090594301Recovered Amount :0.0
4 , 23/10/2012 04:45:08:336 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR110139801Claim Applied Amount :975377.0
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090594301Default Amount :23895.0
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR110139801Recovered Amount :0.0
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR110139801Default Amount :6958.0
4 , 23/10/2012 04:45:08:336 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:336 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:08:336 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:08:398 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:414 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840301Oustanding Amount :50000.0
4 , 23/10/2012 04:45:08:414 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:414 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:08:414 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840301Approved Application Amount :50000.0
4 , 23/10/2012 04:45:08:414 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090192901Oustanding Amount :41863.0
4 , 23/10/2012 04:45:08:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090258501Oustanding Amount :44463.0
4 , 23/10/2012 04:45:08:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840301Claim Applied Amount :42500.0
4 , 23/10/2012 04:45:08:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090192901Approved Application Amount :100000.0
4 , 23/10/2012 04:45:08:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090258501Approved Application Amount :47500.0
