4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HA100156201Recovered Amount :0.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090734701Claim Applied Amount :21250.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100448001Recovered Amount :0.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090734701Recovered Amount :0.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100448001Default Amount :27500.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090734701Default Amount :25000.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:054 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:054 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:054 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:086 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:086 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110037601Oustanding Amount :50000.0
4 , 23/10/2012 04:46:47:086 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110037601Approved Application Amount :50000.0
4 , 23/10/2012 04:46:47:101 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110037601Claim Applied Amount :42500.0
4 , 23/10/2012 04:46:47:101 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110037601Recovered Amount :0.0
4 , 23/10/2012 04:46:47:101 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110037601Default Amount :950000.0
4 , 23/10/2012 04:46:47:101 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:101 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:117 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:132 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100059601Oustanding Amount :875000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108401Oustanding Amount :100000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100059601Approved Application Amount :875000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108401Approved Application Amount :100000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100059601Claim Applied Amount :656250.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108401Claim Applied Amount :85000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100059601Recovered Amount :0.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108401Recovered Amount :0.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100059601Default Amount :375000.0
4 , 23/10/2012 04:46:47:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108401Default Amount :25000.0
4 , 23/10/2012 04:46:47:148 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:148 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:148 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:148 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:164 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:164 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101357001Oustanding Amount :27500.0
4 , 23/10/2012 04:46:47:164 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101357001Approved Application Amount :27500.0
4 , 23/10/2012 04:46:47:164 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101357001Claim Applied Amount :20098.0
4 , 23/10/2012 04:46:47:164 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101357001Recovered Amount :0.0
4 , 23/10/2012 04:46:47:164 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101357001Default Amount :50000.0
4 , 23/10/2012 04:46:47:179 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:179 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:210 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:210 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101373501Oustanding Amount :899292.0
4 , 23/10/2012 04:46:47:210 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:226 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101373501Approved Application Amount :2050000.0
4 , 23/10/2012 04:46:47:226 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091201701Oustanding Amount :75000.0
4 , 23/10/2012 04:46:47:226 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101373501Claim Applied Amount :674709.0
4 , 23/10/2012 04:46:47:226 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091201701Approved Application Amount :75000.0
4 , 23/10/2012 04:46:47:226 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101373501Recovered Amount :0.0
4 , 23/10/2012 04:46:47:242 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091201701Claim Applied Amount :63750.0
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101373501Default Amount :875000.0
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100599401Oustanding Amount :1.0E7
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091201701Recovered Amount :0.0
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100599401Approved Application Amount :1.0E7
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091201701Default Amount :100000.0
4 , 23/10/2012 04:46:47:242 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100599401Claim Applied Amount :6250000.0
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:242 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100599401Recovered Amount :0.0
4 , 23/10/2012 04:46:47:242 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:257 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100599401Default Amount :27500.0
4 , 23/10/2012 04:46:47:257 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:257 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:320 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090784201Oustanding Amount :27500.0
4 , 23/10/2012 04:46:47:320 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090784201Approved Application Amount :27500.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100116301Oustanding Amount :25000.0
4 , 23/10/2012 04:46:47:335 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090784201Claim Applied Amount :20625.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100116301Approved Application Amount :25000.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102185401Oustanding Amount :45159.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090784201Recovered Amount :0.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100116301Claim Applied Amount :25000.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102185401Approved Application Amount :70000.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090784201Default Amount :899292.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100116301Recovered Amount :0.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102185401Claim Applied Amount :33986.0
4 , 23/10/2012 04:46:47:335 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:351 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100116301Default Amount :75000.0
4 , 23/10/2012 04:46:47:351 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102185401Recovered Amount :0.0
4 , 23/10/2012 04:46:47:351 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:351 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:351 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102185401Default Amount :1.0E7
4 , 23/10/2012 04:46:47:351 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:351 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:351 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:413 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:429 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100108701Oustanding Amount :25490.0
4 , 23/10/2012 04:46:47:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091105301Oustanding Amount :50000.0
4 , 23/10/2012 04:46:47:429 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100108701Approved Application Amount :45000.0
4 , 23/10/2012 04:46:47:429 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091105301Approved Application Amount :50000.0
4 , 23/10/2012 04:46:47:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101891101Oustanding Amount :272713.0
4 , 23/10/2012 04:46:47:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100108701Claim Applied Amount :14115.1
4 , 23/10/2012 04:46:47:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091105301Claim Applied Amount :42500.0
4 , 23/10/2012 04:46:47:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101891101Approved Application Amount :282000.0
4 , 23/10/2012 04:46:47:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100108701Recovered Amount :0.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091105301Recovered Amount :0.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101891101Claim Applied Amount :175835.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100108701Default Amount :27500.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091105301Default Amount :25000.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101891101Recovered Amount :0.0
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:460 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101891101Default Amount :45159.0
4 , 23/10/2012 04:46:47:476 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:476 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:476 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:476 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:538 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:538 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100861601Oustanding Amount :95133.0
4 , 23/10/2012 04:46:47:554 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:554 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100861601Approved Application Amount :100000.0
4 , 23/10/2012 04:46:47:554 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:554 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100054701Oustanding Amount :1450000.0
4 , 23/10/2012 04:46:47:554 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100861601Claim Applied Amount :85000.0
4 , 23/10/2012 04:46:47:554 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090211201Oustanding Amount :44989.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100054701Approved Application Amount :1450000.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100861601Recovered Amount :0.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090211201Approved Application Amount :50000.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100054701Claim Applied Amount :1087500.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100861601Default Amount :25490.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090211201Claim Applied Amount :38241.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100054701Recovered Amount :0.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090211201Recovered Amount :0.0
4 , 23/10/2012 04:46:47:569 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100054701Default Amount :272713.0
4 , 23/10/2012 04:46:47:585 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:585 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090211201Default Amount :50000.0
4 , 23/10/2012 04:46:47:585 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:585 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:585 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:585 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:647 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:647 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA090010201Oustanding Amount :5003154.0
4 , 23/10/2012 04:46:47:647 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA090010201Approved Application Amount :5250000.0
4 , 23/10/2012 04:46:47:663 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:663 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA090010201Claim Applied Amount :3752365.5
4 , 23/10/2012 04:46:47:663 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:663 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090175001Oustanding Amount :792081.0
4 , 23/10/2012 04:46:47:663 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA090010201Recovered Amount :0.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091187401Oustanding Amount :60000.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090175001Approved Application Amount :1875000.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA090010201Default Amount :95133.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091187401Approved Application Amount :60000.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090175001Claim Applied Amount :433779.0
4 , 23/10/2012 04:46:47:679 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:694 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091187401Claim Applied Amount :51000.0
4 , 23/10/2012 04:46:47:694 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090175001Recovered Amount :0.0
4 , 23/10/2012 04:46:47:694 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:694 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091187401Recovered Amount :0.0
