4 , 22/10/2012 06:59:43:177 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:711 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:714 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:778 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:781 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185501Oustanding Amount :93035.0
4 , 22/10/2012 06:59:43:784 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185501Approved Application Amount :110000.0
4 , 22/10/2012 06:59:43:787 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185501Claim Applied Amount :69776.0
4 , 22/10/2012 06:59:43:790 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185501Recovered Amount :0.0
4 , 22/10/2012 06:59:43:792 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185501Default Amount :78916.0
4 , 22/10/2012 06:59:43:794 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:798 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:874 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:877 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090688001Oustanding Amount :472900.0
4 , 22/10/2012 06:59:43:880 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090688001Approved Application Amount :475000.0
4 , 22/10/2012 06:59:43:886 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090688001Claim Applied Amount :354886.0
4 , 22/10/2012 06:59:43:888 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090688001Recovered Amount :0.0
4 , 22/10/2012 06:59:43:891 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090688001Default Amount :93035.0
4 , 22/10/2012 06:59:43:893 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:895 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:958 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102548601Oustanding Amount :295937.0
4 , 22/10/2012 06:59:43:964 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102548601Approved Application Amount :380000.0
4 , 22/10/2012 06:59:43:966 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102548601Claim Applied Amount :215476.0
4 , 22/10/2012 06:59:43:969 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102548601Recovered Amount :0.0
4 , 22/10/2012 06:59:43:971 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102548601Default Amount :472900.0
4 , 22/10/2012 06:59:43:973 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:974 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:040 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946001Oustanding Amount :50000.0
4 , 22/10/2012 06:59:44:046 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946001Approved Application Amount :50000.0
4 , 22/10/2012 06:59:44:049 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946001Claim Applied Amount :42500.0
4 , 22/10/2012 06:59:44:051 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946001Recovered Amount :0.0
4 , 22/10/2012 06:59:44:054 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946001Default Amount :295937.0
4 , 22/10/2012 06:59:44:057 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:060 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:152 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:155 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN102006501Oustanding Amount :270602.0
4 , 22/10/2012 06:59:44:158 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN102006501Approved Application Amount :300000.0
4 , 22/10/2012 06:59:44:161 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN102006501Claim Applied Amount :270602.0
4 , 22/10/2012 06:59:44:163 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN102006501Recovered Amount :0.0
4 , 22/10/2012 06:59:44:171 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN102006501Default Amount :50000.0
4 , 22/10/2012 06:59:44:173 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:176 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:254 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:262 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090070001Oustanding Amount :700000.0
4 , 22/10/2012 06:59:44:265 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090070001Approved Application Amount :700000.0
4 , 22/10/2012 06:59:44:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090070001Claim Applied Amount :525000.0
4 , 22/10/2012 06:59:44:271 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090070001Recovered Amount :0.0
4 , 22/10/2012 06:59:44:273 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090070001Default Amount :270602.0
4 , 22/10/2012 06:59:44:274 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:275 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:341 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:344 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091031001Oustanding Amount :60000.0
4 , 22/10/2012 06:59:44:348 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091031001Approved Application Amount :60000.0
4 , 22/10/2012 06:59:44:351 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091031001Claim Applied Amount :51000.0
4 , 22/10/2012 06:59:44:354 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091031001Recovered Amount :0.0
4 , 22/10/2012 06:59:44:357 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091031001Default Amount :700000.0
4 , 22/10/2012 06:59:44:360 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:362 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:429 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:433 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091191401Oustanding Amount :50000.0
4 , 22/10/2012 06:59:44:436 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091191401Approved Application Amount :50000.0
4 , 22/10/2012 06:59:44:439 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091191401Claim Applied Amount :42500.0
4 , 22/10/2012 06:59:44:442 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091191401Recovered Amount :0.0
4 , 22/10/2012 06:59:44:445 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091191401Default Amount :60000.0
4 , 22/10/2012 06:59:44:448 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:451 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:519 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:522 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991701Oustanding Amount :50000.0
4 , 22/10/2012 06:59:44:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991701Approved Application Amount :50000.0
4 , 22/10/2012 06:59:44:527 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991701Claim Applied Amount :42500.0
4 , 22/10/2012 06:59:44:530 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991701Recovered Amount :0.0
4 , 22/10/2012 06:59:44:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991701Default Amount :50000.0
4 , 22/10/2012 06:59:44:540 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:542 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:611 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:614 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091068801Oustanding Amount :100000.0
4 , 22/10/2012 06:59:44:617 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091068801Approved Application Amount :100000.0
4 , 22/10/2012 06:59:44:620 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091068801Claim Applied Amount :81620.0
4 , 22/10/2012 06:59:44:623 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091068801Recovered Amount :0.0
4 , 22/10/2012 06:59:44:626 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091068801Default Amount :50000.0
4 , 22/10/2012 06:59:44:629 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:632 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:698 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:701 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090967801Oustanding Amount :31746.0
4 , 22/10/2012 06:59:44:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090967801Approved Application Amount :50000.0
4 , 22/10/2012 06:59:44:708 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090967801Claim Applied Amount :26984.0
4 , 22/10/2012 06:59:44:711 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090967801Recovered Amount :0.0
4 , 22/10/2012 06:59:44:714 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090967801Default Amount :100000.0
4 , 22/10/2012 06:59:44:717 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:720 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:781 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:784 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP080038801Oustanding Amount :1750000.0
4 , 22/10/2012 06:59:44:787 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP080038801Approved Application Amount :1750000.0
4 , 22/10/2012 06:59:44:790 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP080038801Claim Applied Amount :1423498.0
4 , 22/10/2012 06:59:44:797 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP080038801Recovered Amount :0.0
4 , 22/10/2012 06:59:44:800 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP080038801Default Amount :31746.0
4 , 22/10/2012 06:59:44:803 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:806 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:883 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:886 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091802201Oustanding Amount :100000.0
4 , 22/10/2012 06:59:44:889 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091802201Approved Application Amount :100000.0
4 , 22/10/2012 06:59:44:892 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091802201Claim Applied Amount :85000.0
4 , 22/10/2012 06:59:44:894 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091802201Recovered Amount :0.0
4 , 22/10/2012 06:59:44:898 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091802201Default Amount :1750000.0
4 , 22/10/2012 06:59:44:901 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:902 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:44:968 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:44:971 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100826801Oustanding Amount :950000.0
4 , 22/10/2012 06:59:44:974 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100826801Approved Application Amount :950000.0
4 , 22/10/2012 06:59:44:977 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100826801Claim Applied Amount :950000.0
4 , 22/10/2012 06:59:44:980 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100826801Recovered Amount :0.0
4 , 22/10/2012 06:59:44:982 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100826801Default Amount :100000.0
4 , 22/10/2012 06:59:44:985 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:44:988 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:050 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:054 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091179701Oustanding Amount :40000.0
4 , 22/10/2012 06:59:45:057 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091179701Approved Application Amount :40000.0
4 , 22/10/2012 06:59:45:060 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091179701Claim Applied Amount :34000.0
4 , 22/10/2012 06:59:45:063 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091179701Recovered Amount :0.0
4 , 22/10/2012 06:59:45:066 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091179701Default Amount :950000.0
4 , 22/10/2012 06:59:45:069 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:45:072 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:136 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:139 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110031401Oustanding Amount :100000.0
4 , 22/10/2012 06:59:45:142 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110031401Approved Application Amount :100000.0
4 , 22/10/2012 06:59:45:149 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110031401Claim Applied Amount :75000.0
4 , 22/10/2012 06:59:45:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110031401Recovered Amount :0.0
4 , 22/10/2012 06:59:45:154 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110031401Default Amount :40000.0
4 , 22/10/2012 06:59:45:156 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:45:158 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:225 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:228 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091112901Oustanding Amount :120000.0
4 , 22/10/2012 06:59:45:230 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091112901Approved Application Amount :120000.0
4 , 22/10/2012 06:59:45:233 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091112901Claim Applied Amount :102000.0
4 , 22/10/2012 06:59:45:235 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091112901Recovered Amount :0.0
4 , 22/10/2012 06:59:45:238 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091112901Default Amount :100000.0
4 , 22/10/2012 06:59:45:240 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:45:242 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:316 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE060341201Oustanding Amount :500000.0
4 , 22/10/2012 06:59:45:322 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE060341201Approved Application Amount :500000.0
4 , 22/10/2012 06:59:45:325 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE060341201Claim Applied Amount :375000.0
4 , 22/10/2012 06:59:45:327 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE060341201Recovered Amount :0.0
4 , 22/10/2012 06:59:45:329 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE060341201Default Amount :120000.0
4 , 22/10/2012 06:59:45:332 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:45:334 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:399 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:402 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091050101Oustanding Amount :30000.0
4 , 22/10/2012 06:59:45:405 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091050101Approved Application Amount :30000.0
4 , 22/10/2012 06:59:45:408 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091050101Claim Applied Amount :25500.0
4 , 22/10/2012 06:59:45:411 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091050101Recovered Amount :0.0
4 , 22/10/2012 06:59:45:412 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091050101Default Amount :500000.0
4 , 22/10/2012 06:59:45:413 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:45:414 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:45:475 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:45:478 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091060701Oustanding Amount :26820.0
4 , 22/10/2012 06:59:45:480 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091060701Approved Application Amount :50000.0
4 , 22/10/2012 06:59:45:483 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091060701Claim Applied Amount :22816.0
4 , 22/10/2012 06:59:45:486 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091060701Recovered Amount :0.0
