4 , 12/11/2008 11:50:05:462 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:05:900 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:05:931 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:05:947 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:05:947 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:10000.0
4 , 12/11/2008 11:50:05:947 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:10000.0
4 , 12/11/2008 11:50:05:947 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:05:947 , ApplicationDAO , getPartApplication , Entered. Memory : 9344752
4 , 12/11/2008 11:50:05:962 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:05:978 , ApplicationDAO , getPartApplication , Exited. Memory : 7805328
4 , 12/11/2008 11:50:05:978 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:009 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:025 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:025 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1500000.0
4 , 12/11/2008 11:50:06:025 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1500000.0
4 , 12/11/2008 11:50:06:025 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:025 , ApplicationDAO , getPartApplication , Entered. Memory : 7375736
4 , 12/11/2008 11:50:06:056 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:056 , ApplicationDAO , getPartApplication , Exited. Memory : 5853384
4 , 12/11/2008 11:50:06:056 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:119 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:134 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:134 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:145000.0
4 , 12/11/2008 11:50:06:134 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:145000.0
4 , 12/11/2008 11:50:06:134 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:134 , ApplicationDAO , getPartApplication , Entered. Memory : 10233144
4 , 12/11/2008 11:50:06:150 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:165 , ApplicationDAO , getPartApplication , Exited. Memory : 8693288
4 , 12/11/2008 11:50:06:165 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:212 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:212 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:212 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:15000.0
4 , 12/11/2008 11:50:06:212 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:15000.0
4 , 12/11/2008 11:50:06:212 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:212 , ApplicationDAO , getPartApplication , Entered. Memory : 8262432
4 , 12/11/2008 11:50:06:244 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:244 , ApplicationDAO , getPartApplication , Exited. Memory : 6732136
4 , 12/11/2008 11:50:06:244 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:291 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:291 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:291 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:116000.0
4 , 12/11/2008 11:50:06:291 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:116000.0
4 , 12/11/2008 11:50:06:291 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:291 , ApplicationDAO , getPartApplication , Entered. Memory : 6322256
4 , 12/11/2008 11:50:06:353 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:353 , ApplicationDAO , getPartApplication , Exited. Memory : 9750392
4 , 12/11/2008 11:50:06:353 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:400 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:400 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:400 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:4000.0
4 , 12/11/2008 11:50:06:400 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:4000.0
4 , 12/11/2008 11:50:06:400 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:400 , ApplicationDAO , getPartApplication , Entered. Memory : 9332072
4 , 12/11/2008 11:50:06:431 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:431 , ApplicationDAO , getPartApplication , Exited. Memory : 7802064
4 , 12/11/2008 11:50:06:431 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:478 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:478 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:478 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 12/11/2008 11:50:06:478 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 12/11/2008 11:50:06:478 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:478 , ApplicationDAO , getPartApplication , Entered. Memory : 7373200
4 , 12/11/2008 11:50:06:510 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:510 , ApplicationDAO , getPartApplication , Exited. Memory : 5858184
4 , 12/11/2008 11:50:06:510 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:556 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:588 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:588 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:4893.0
4 , 12/11/2008 11:50:06:588 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:4893.0
4 , 12/11/2008 11:50:06:588 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:588 , ApplicationDAO , getPartApplication , Entered. Memory : 10361928
4 , 12/11/2008 11:50:06:603 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:603 , ApplicationDAO , getPartApplication , Exited. Memory : 8812848
4 , 12/11/2008 11:50:06:603 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:650 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:650 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:650 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1000000.0
4 , 12/11/2008 11:50:06:650 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1000000.0
4 , 12/11/2008 11:50:06:650 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:650 , ApplicationDAO , getPartApplication , Entered. Memory : 8403264
4 , 12/11/2008 11:50:06:682 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:682 , ApplicationDAO , getPartApplication , Exited. Memory : 6872440
4 , 12/11/2008 11:50:06:682 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:744 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:744 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:744 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:285000.0
4 , 12/11/2008 11:50:06:744 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:285000.0
4 , 12/11/2008 11:50:06:744 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:744 , ApplicationDAO , getPartApplication , Entered. Memory : 6453280
4 , 12/11/2008 11:50:06:791 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:807 , ApplicationDAO , getPartApplication , Exited. Memory : 9744232
4 , 12/11/2008 11:50:06:807 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:838 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:854 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:854 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:500000.0
4 , 12/11/2008 11:50:06:854 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:500000.0
4 , 12/11/2008 11:50:06:854 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:854 , ApplicationDAO , getPartApplication , Entered. Memory : 9333912
4 , 12/11/2008 11:50:06:869 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:885 , ApplicationDAO , getPartApplication , Exited. Memory : 7802584
4 , 12/11/2008 11:50:06:885 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:916 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:06:932 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:06:932 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1300000.0
4 , 12/11/2008 11:50:06:932 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1300000.0
4 , 12/11/2008 11:50:06:932 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:06:932 , ApplicationDAO , getPartApplication , Entered. Memory : 7373232
4 , 12/11/2008 11:50:06:947 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:06:963 , ApplicationDAO , getPartApplication , Exited. Memory : 5850592
4 , 12/11/2008 11:50:06:963 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:06:994 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:041 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:041 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 12/11/2008 11:50:07:041 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 12/11/2008 11:50:07:041 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:041 , ApplicationDAO , getPartApplication , Entered. Memory : 10347416
4 , 12/11/2008 11:50:07:057 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:057 , ApplicationDAO , getPartApplication , Exited. Memory : 8806336
4 , 12/11/2008 11:50:07:057 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:104 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:104 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:104 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:10000.0
4 , 12/11/2008 11:50:07:104 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:10000.0
4 , 12/11/2008 11:50:07:104 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:104 , ApplicationDAO , getPartApplication , Entered. Memory : 8397568
4 , 12/11/2008 11:50:07:135 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:135 , ApplicationDAO , getPartApplication , Exited. Memory : 6866840
4 , 12/11/2008 11:50:07:135 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:182 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:182 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:182 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 12/11/2008 11:50:07:182 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 12/11/2008 11:50:07:182 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:182 , ApplicationDAO , getPartApplication , Entered. Memory : 6455640
4 , 12/11/2008 11:50:07:245 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:245 , ApplicationDAO , getPartApplication , Exited. Memory : 9735760
4 , 12/11/2008 11:50:07:245 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:292 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:292 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:292 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:50000.0
4 , 12/11/2008 11:50:07:292 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:50000.0
4 , 12/11/2008 11:50:07:292 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:292 , ApplicationDAO , getPartApplication , Entered. Memory : 9326880
4 , 12/11/2008 11:50:07:323 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:323 , ApplicationDAO , getPartApplication , Exited. Memory : 7795304
4 , 12/11/2008 11:50:07:323 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:370 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:370 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:370 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1350000.0
4 , 12/11/2008 11:50:07:370 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1350000.0
4 , 12/11/2008 11:50:07:370 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:370 , ApplicationDAO , getPartApplication , Entered. Memory : 7358536
4 , 12/11/2008 11:50:07:401 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:401 , ApplicationDAO , getPartApplication , Exited. Memory : 5844712
4 , 12/11/2008 11:50:07:401 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:448 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:479 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:479 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 12/11/2008 11:50:07:479 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 12/11/2008 11:50:07:479 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:479 , ApplicationDAO , getPartApplication , Entered. Memory : 10340480
4 , 12/11/2008 11:50:07:495 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:510 , ApplicationDAO , getPartApplication , Exited. Memory : 8799064
4 , 12/11/2008 11:50:07:510 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:542 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:557 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:557 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:35000.0
4 , 12/11/2008 11:50:07:557 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:35000.0
4 , 12/11/2008 11:50:07:557 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:557 , ApplicationDAO , getPartApplication , Entered. Memory : 8391448
4 , 12/11/2008 11:50:07:573 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:589 , ApplicationDAO , getPartApplication , Exited. Memory : 6859736
4 , 12/11/2008 11:50:07:589 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:620 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:636 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:636 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:52500.0
4 , 12/11/2008 11:50:07:636 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:52500.0
4 , 12/11/2008 11:50:07:636 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:636 , ApplicationDAO , getPartApplication , Entered. Memory : 6432832
4 , 12/11/2008 11:50:07:682 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:698 , ApplicationDAO , getPartApplication , Exited. Memory : 9727688
4 , 12/11/2008 11:50:07:698 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:729 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:745 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:745 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 12/11/2008 11:50:07:745 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 12/11/2008 11:50:07:745 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:745 , ApplicationDAO , getPartApplication , Entered. Memory : 9319672
4 , 12/11/2008 11:50:07:761 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:776 , ApplicationDAO , getPartApplication , Exited. Memory : 7787416
4 , 12/11/2008 11:50:07:776 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:808 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:823 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:823 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:30000.0
4 , 12/11/2008 11:50:07:823 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:30000.0
4 , 12/11/2008 11:50:07:823 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:823 , ApplicationDAO , getPartApplication , Entered. Memory : 7345056
4 , 12/11/2008 11:50:07:839 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:07:855 , ApplicationDAO , getPartApplication , Exited. Memory : 5831552
4 , 12/11/2008 11:50:07:855 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:07:933 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:07:964 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:07:964 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:2500000.0
4 , 12/11/2008 11:50:07:964 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:2500000.0
4 , 12/11/2008 11:50:07:964 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:07:964 , ApplicationDAO , getPartApplication , Entered. Memory : 10334048
4 , 12/11/2008 11:50:08:011 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:027 , ApplicationDAO , getPartApplication , Exited. Memory : 8792400
4 , 12/11/2008 11:50:08:027 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:089 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:105 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:105 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 12/11/2008 11:50:08:105 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 12/11/2008 11:50:08:105 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:105 , ApplicationDAO , getPartApplication , Entered. Memory : 8377848
4 , 12/11/2008 11:50:08:136 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:152 , ApplicationDAO , getPartApplication , Exited. Memory : 6823832
4 , 12/11/2008 11:50:08:152 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:214 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:230 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:230 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:400000.0
4 , 12/11/2008 11:50:08:230 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:400000.0
4 , 12/11/2008 11:50:08:230 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:230 , ApplicationDAO , getPartApplication , Entered. Memory : 6438712
4 , 12/11/2008 11:50:08:277 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:292 , ApplicationDAO , getPartApplication , Exited. Memory : 9711464
4 , 12/11/2008 11:50:08:292 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:324 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:339 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:339 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:2450000.0
4 , 12/11/2008 11:50:08:339 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:2450000.0
4 , 12/11/2008 11:50:08:339 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:339 , ApplicationDAO , getPartApplication , Entered. Memory : 9304288
4 , 12/11/2008 11:50:08:355 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:371 , ApplicationDAO , getPartApplication , Exited. Memory : 7766112
4 , 12/11/2008 11:50:08:371 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:402 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:402 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:418 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:200000.0
4 , 12/11/2008 11:50:08:418 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:200000.0
4 , 12/11/2008 11:50:08:418 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:418 , ApplicationDAO , getPartApplication , Entered. Memory : 7341168
4 , 12/11/2008 11:50:08:433 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:433 , ApplicationDAO , getPartApplication , Exited. Memory : 5804304
4 , 12/11/2008 11:50:08:433 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:480 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:511 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:511 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:200000.0
4 , 12/11/2008 11:50:08:511 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:200000.0
4 , 12/11/2008 11:50:08:511 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:511 , ApplicationDAO , getPartApplication , Entered. Memory : 10328536
4 , 12/11/2008 11:50:08:527 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:543 , ApplicationDAO , getPartApplication , Exited. Memory : 8778736
4 , 12/11/2008 11:50:08:543 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:590 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:590 , AdminDAO , getParameter , Exited
4 , 12/11/2008 11:50:08:590 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:50000.0
4 , 12/11/2008 11:50:08:590 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:50000.0
4 , 12/11/2008 11:50:08:590 , ApplicationProcessor , getPartApplication , Entered
4 , 12/11/2008 11:50:08:590 , ApplicationDAO , getPartApplication , Entered. Memory : 8380800
4 , 12/11/2008 11:50:08:621 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 12/11/2008 11:50:08:621 , ApplicationDAO , getPartApplication , Exited. Memory : 6819000
4 , 12/11/2008 11:50:08:621 , ApplicationProcessor , getPartApplication , Exited
4 , 12/11/2008 11:50:08:668 , AdminDAO , getParameter , Entered
4 , 12/11/2008 11:50:08:668 , AdminDAO , getParameter , Exited
