2 , 24/11/2008 15:03:08:224 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:41:25:076 , CPDAO , getAppRefNumber() , Exited
4 , 24/11/2008 15:41:25:076 , CPDAO , getAllClaimsFiled() , Entered!
4 , 24/11/2008 15:41:25:091 , CPDAO , getAllClaimsFiled() , Exited!
4 , 24/11/2008 15:41:25:091 , CPDAO , getDisbursementDetails , Entered
4 , 24/11/2008 15:41:25:326 , CPDAO , get disbursementDetails , Exited
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbursementDetails Dtls :1
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbDtls Dtls :1
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of Nested Dtls :2
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:41:25:326 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:41:25:341 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:41:25:373 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:41:25:373 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:41:25:388 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:41:25:388 , CPDAO , getCGPANDetailsForBorrowerId() , Exited!
4 , 24/11/2008 15:41:25:388 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:41:25:388 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:41:25:388 , ReportsDAO , getClaimAttachments , Entered
4 , 24/11/2008 15:41:25:748 , ReportsDAO , getClaimAttachments , Exited
4 , 24/11/2008 15:42:34:632 , ReportsAction , displayClmRefNumberDtl , Entered
4 , 24/11/2008 15:42:34:632 , ReportsAction , displayListOfClaimRefNumbers , Claim Application Status being queried :NE
4 , 24/11/2008 15:42:34:632 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:42:34:632 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:42:34:632 , CPDAO , getMemberInfoDetails() , Entered!
4 , 24/11/2008 15:42:34:632 , CPDAO , getMemberInfoDetails() , Exited!
4 , 24/11/2008 15:42:34:632 , CPDAO , getBorrowerDetails() , Entered!
4 , 24/11/2008 15:42:34:773 , CPDAO , getBorrowerDetails() , Exited!
4 , 24/11/2008 15:42:34:773 , CPDAO , isNPADetailsAvailable() , Entered!
4 , 24/11/2008 15:42:34:773 , CPDAO , isNPADetailsAvailable() , Borrower Id :TN0602358
4 , 24/11/2008 15:42:34:788 , CPDAO , isNPADetailsAvailable() , Exited!
4 , 24/11/2008 15:42:34:788 , CPDAO , isLegalProceedingsDetailAvl() , Entered!
4 , 24/11/2008 15:42:34:804 , CPDAO , isLegalProceedingsDetailAvl() , Exited!
4 , 24/11/2008 15:42:34:882 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:42:34:882 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:42:34:882 , CPDAO , getCGPANDetailsForBorrowerId() , Entered!
2 , 24/11/2008 15:42:35:367 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:42:35:367 , CPDAO , getAppRefNumber() , Exited
2 , 24/11/2008 15:42:35:382 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:42:35:382 , CPDAO , getAppRefNumber() , Exited
4 , 24/11/2008 15:42:35:413 , CPDAO , getAllClaimsFiled() , Entered!
4 , 24/11/2008 15:42:35:413 , CPDAO , getAllClaimsFiled() , Exited!
4 , 24/11/2008 15:42:35:413 , CPDAO , getDisbursementDetails , Entered
4 , 24/11/2008 15:42:35:648 , CPDAO , get disbursementDetails , Exited
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbursementDetails Dtls :1
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbDtls Dtls :1
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , Size of Nested Dtls :2
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:42:35:648 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:42:35:648 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:42:35:679 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:42:35:679 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:42:35:679 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:42:35:679 , CPDAO , getCGPANDetailsForBorrowerId() , Exited!
4 , 24/11/2008 15:42:35:695 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:42:35:695 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:42:35:695 , ReportsDAO , getClaimAttachments , Entered
4 , 24/11/2008 15:42:35:742 , ReportsDAO , getClaimAttachments , Exited
4 , 24/11/2008 15:43:56:708 , ReportsAction , displayClmRefNumberDtl , Entered
4 , 24/11/2008 15:43:56:708 , ReportsAction , displayListOfClaimRefNumbers , Claim Application Status being queried :NE
4 , 24/11/2008 15:43:56:708 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:43:56:708 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:43:56:724 , CPDAO , getMemberInfoDetails() , Entered!
4 , 24/11/2008 15:43:56:724 , CPDAO , getMemberInfoDetails() , Exited!
4 , 24/11/2008 15:43:56:724 , CPDAO , getBorrowerDetails() , Entered!
4 , 24/11/2008 15:43:56:849 , CPDAO , getBorrowerDetails() , Exited!
4 , 24/11/2008 15:43:56:849 , CPDAO , isNPADetailsAvailable() , Entered!
4 , 24/11/2008 15:43:56:849 , CPDAO , isNPADetailsAvailable() , Borrower Id :TN0602358
4 , 24/11/2008 15:43:56:865 , CPDAO , isNPADetailsAvailable() , Exited!
4 , 24/11/2008 15:43:56:865 , CPDAO , isLegalProceedingsDetailAvl() , Entered!
4 , 24/11/2008 15:43:56:880 , CPDAO , isLegalProceedingsDetailAvl() , Exited!
4 , 24/11/2008 15:43:56:943 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:43:56:943 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:43:56:943 , CPDAO , getCGPANDetailsForBorrowerId() , Entered!
2 , 24/11/2008 15:43:57:443 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:43:57:443 , CPDAO , getAppRefNumber() , Exited
2 , 24/11/2008 15:43:57:458 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:43:57:458 , CPDAO , getAppRefNumber() , Exited
4 , 24/11/2008 15:43:57:474 , CPDAO , getAllClaimsFiled() , Entered!
4 , 24/11/2008 15:43:57:474 , CPDAO , getAllClaimsFiled() , Exited!
4 , 24/11/2008 15:43:57:474 , CPDAO , getDisbursementDetails , Entered
4 , 24/11/2008 15:43:57:646 , CPDAO , get disbursementDetails , Exited
4 , 24/11/2008 15:43:57:646 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbursementDetails Dtls :1
4 , 24/11/2008 15:43:57:646 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbDtls Dtls :1
4 , 24/11/2008 15:43:57:646 , CPDAO , getCGPANDetailsForBorrowerId() , Size of Nested Dtls :2
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:43:57:662 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:43:57:662 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:43:57:677 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:43:57:677 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:43:57:677 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:43:57:677 , CPDAO , getCGPANDetailsForBorrowerId() , Exited!
4 , 24/11/2008 15:43:57:677 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:43:57:677 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:43:57:677 , ReportsDAO , getClaimAttachments , Entered
4 , 24/11/2008 15:43:57:740 , ReportsDAO , getClaimAttachments , Exited
4 , 24/11/2008 15:44:18:357 , ReportsAction , displayClmRefNumberDtl , Entered
4 , 24/11/2008 15:44:18:357 , ReportsAction , displayListOfClaimRefNumbers , Claim Application Status being queried :NE
4 , 24/11/2008 15:44:18:357 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:44:18:357 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:44:18:357 , CPDAO , getMemberInfoDetails() , Entered!
4 , 24/11/2008 15:44:18:372 , CPDAO , getMemberInfoDetails() , Exited!
4 , 24/11/2008 15:44:18:372 , CPDAO , getBorrowerDetails() , Entered!
4 , 24/11/2008 15:44:18:497 , CPDAO , getBorrowerDetails() , Exited!
4 , 24/11/2008 15:44:18:497 , CPDAO , isNPADetailsAvailable() , Entered!
4 , 24/11/2008 15:44:18:497 , CPDAO , isNPADetailsAvailable() , Borrower Id :TN0602358
4 , 24/11/2008 15:44:18:513 , CPDAO , isNPADetailsAvailable() , Exited!
4 , 24/11/2008 15:44:18:513 , CPDAO , isLegalProceedingsDetailAvl() , Entered!
4 , 24/11/2008 15:44:18:560 , CPDAO , isLegalProceedingsDetailAvl() , Exited!
4 , 24/11/2008 15:44:18:622 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:44:18:622 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:44:18:622 , CPDAO , getCGPANDetailsForBorrowerId() , Entered!
2 , 24/11/2008 15:44:19:122 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:44:19:122 , CPDAO , getAppRefNumber() , Exited
2 , 24/11/2008 15:44:19:138 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:44:19:138 , CPDAO , getAppRefNumber() , Exited
4 , 24/11/2008 15:44:19:154 , CPDAO , getAllClaimsFiled() , Entered!
4 , 24/11/2008 15:44:19:154 , CPDAO , getAllClaimsFiled() , Exited!
4 , 24/11/2008 15:44:19:154 , CPDAO , getDisbursementDetails , Entered
4 , 24/11/2008 15:44:19:326 , CPDAO , get disbursementDetails , Exited
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbursementDetails Dtls :1
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbDtls Dtls :1
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , Size of Nested Dtls :2
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:44:19:326 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
