4 , 09/05/2012 06:55:43:256 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:294 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:295 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:296 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:299 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:300 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:301 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:307 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:308 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:310 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:311 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:314 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:315 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:316 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:317 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:318 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:320 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:325 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:326 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:327 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:329 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:330 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:331 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:332 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:333 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:334 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:335 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:341 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:342 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:343 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:345 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:346 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:347 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:348 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:349 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:350 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:351 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:358 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:359 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:360 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:362 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:363 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:364 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:365 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:366 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:367 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:368 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:374 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:375 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:376 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:377 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:379 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:380 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:381 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:382 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:383 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:384 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:389 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:390 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:391 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:392 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:393 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:394 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:395 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:396 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:397 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:399 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:404 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:405 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:406 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:407 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:408 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:409 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:410 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:411 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:412 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:413 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:418 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:419 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:420 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:421 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:422 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:423 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:425 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:426 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:427 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:428 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:433 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:434 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:435 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:436 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:437 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:438 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:439 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:441 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:442 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:443 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:448 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:449 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:451 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:452 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:455 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:456 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:457 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:460 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:461 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:462 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:469 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:470 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:472 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:473 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:474 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:475 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:476 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:477 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:478 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:480 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:485 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:486 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:487 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:488 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:489 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:491 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:492 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:493 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:494 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:495 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:501 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:502 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:503 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:504 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:505 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:506 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:508 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:509 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:510 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:511 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:526 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:527 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:528 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:529 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:531 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:532 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:533 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:534 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:535 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:536 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:542 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:543 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:544 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:545 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:546 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:548 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:549 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:550 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:551 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:552 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:557 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:559 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:560 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
4 , 09/05/2012 06:55:43:561 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@4f1af2
