4 , 11/11/2008 17:02:44:478 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:44:963 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:30000.0
4 , 11/11/2008 17:02:44:963 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:44:963 , ApplicationDAO , getPartApplication , Entered. Memory : 9258712
4 , 11/11/2008 17:02:44:994 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:44:994 , ApplicationDAO , getPartApplication , Exited. Memory : 7710136
4 , 11/11/2008 17:02:44:994 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:041 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:041 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:041 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:12000.0
4 , 11/11/2008 17:02:45:041 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:12000.0
4 , 11/11/2008 17:02:45:041 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:041 , ApplicationDAO , getPartApplication , Entered. Memory : 7304568
4 , 11/11/2008 17:02:45:088 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:103 , ApplicationDAO , getPartApplication , Exited. Memory : 9671992
4 , 11/11/2008 17:02:45:103 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:135 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:150 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:150 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1000000.0
4 , 11/11/2008 17:02:45:150 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1000000.0
4 , 11/11/2008 17:02:45:150 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:150 , ApplicationDAO , getPartApplication , Entered. Memory : 9257040
4 , 11/11/2008 17:02:45:166 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:181 , ApplicationDAO , getPartApplication , Exited. Memory : 7709592
4 , 11/11/2008 17:02:45:181 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:213 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:228 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:228 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:2090000.0
4 , 11/11/2008 17:02:45:228 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:2090000.0
4 , 11/11/2008 17:02:45:228 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:228 , ApplicationDAO , getPartApplication , Entered. Memory : 7303624
4 , 11/11/2008 17:02:45:244 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:260 , ApplicationDAO , getPartApplication , Exited. Memory : 5750856
4 , 11/11/2008 17:02:45:260 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:322 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:322 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:322 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:45:322 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:45:322 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:322 , ApplicationDAO , getPartApplication , Entered. Memory : 10033992
4 , 11/11/2008 17:02:45:353 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:353 , ApplicationDAO , getPartApplication , Exited. Memory : 8476216
4 , 11/11/2008 17:02:45:353 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:400 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:400 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:400 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 11/11/2008 17:02:45:400 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 11/11/2008 17:02:45:400 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:400 , ApplicationDAO , getPartApplication , Entered. Memory : 8053944
4 , 11/11/2008 17:02:45:432 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:432 , ApplicationDAO , getPartApplication , Exited. Memory : 6516056
4 , 11/11/2008 17:02:45:432 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:478 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:478 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:478 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:6000.0
4 , 11/11/2008 17:02:45:478 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:6000.0
4 , 11/11/2008 17:02:45:478 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:478 , ApplicationDAO , getPartApplication , Entered. Memory : 6123120
4 , 11/11/2008 17:02:45:525 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:541 , ApplicationDAO , getPartApplication , Exited. Memory : 8882800
4 , 11/11/2008 17:02:45:541 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:572 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:588 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:588 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25093.0
4 , 11/11/2008 17:02:45:588 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25093.0
4 , 11/11/2008 17:02:45:588 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:588 , ApplicationDAO , getPartApplication , Entered. Memory : 8467784
4 , 11/11/2008 17:02:45:603 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:619 , ApplicationDAO , getPartApplication , Exited. Memory : 6911224
4 , 11/11/2008 17:02:45:619 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:650 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:666 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:666 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1500.0
4 , 11/11/2008 17:02:45:666 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1500.0
4 , 11/11/2008 17:02:45:666 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:666 , ApplicationDAO , getPartApplication , Entered. Memory : 6507176
4 , 11/11/2008 17:02:45:713 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:713 , ApplicationDAO , getPartApplication , Exited. Memory : 8878512
4 , 11/11/2008 17:02:45:713 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:760 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:760 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:760 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 11/11/2008 17:02:45:760 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 11/11/2008 17:02:45:760 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:760 , ApplicationDAO , getPartApplication , Entered. Memory : 8471640
4 , 11/11/2008 17:02:45:791 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:791 , ApplicationDAO , getPartApplication , Exited. Memory : 6917344
4 , 11/11/2008 17:02:45:791 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:838 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:838 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:838 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:45:838 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:45:838 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:838 , ApplicationDAO , getPartApplication , Entered. Memory : 6505416
4 , 11/11/2008 17:02:45:885 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:900 , ApplicationDAO , getPartApplication , Exited. Memory : 8868448
4 , 11/11/2008 17:02:45:900 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:45:932 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:45:947 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:45:947 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:6000.0
4 , 11/11/2008 17:02:45:947 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:6000.0
4 , 11/11/2008 17:02:45:947 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:45:947 , ApplicationDAO , getPartApplication , Entered. Memory : 8469664
4 , 11/11/2008 17:02:45:963 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:45:979 , ApplicationDAO , getPartApplication , Exited. Memory : 6923696
4 , 11/11/2008 17:02:45:979 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:010 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:026 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:026 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:46:026 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:46:026 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:026 , ApplicationDAO , getPartApplication , Entered. Memory : 6519976
4 , 11/11/2008 17:02:46:072 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:088 , ApplicationDAO , getPartApplication , Exited. Memory : 9656248
4 , 11/11/2008 17:02:46:088 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:135 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:135 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:135 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:23449.0
4 , 11/11/2008 17:02:46:135 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:23449.0
4 , 11/11/2008 17:02:46:135 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:135 , ApplicationDAO , getPartApplication , Entered. Memory : 9243496
4 , 11/11/2008 17:02:46:166 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:166 , ApplicationDAO , getPartApplication , Exited. Memory : 7695072
4 , 11/11/2008 17:02:46:166 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:229 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:244 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:244 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 11/11/2008 17:02:46:244 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 11/11/2008 17:02:46:244 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:244 , ApplicationDAO , getPartApplication , Entered. Memory : 7267888
4 , 11/11/2008 17:02:46:276 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:276 , ApplicationDAO , getPartApplication , Exited. Memory : 5732296
4 , 11/11/2008 17:02:46:276 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:338 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:338 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:338 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:46:338 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:46:338 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:338 , ApplicationDAO , getPartApplication , Entered. Memory : 10003448
4 , 11/11/2008 17:02:46:369 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:369 , ApplicationDAO , getPartApplication , Exited. Memory : 8454840
4 , 11/11/2008 17:02:46:369 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:416 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:416 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:416 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:3000.0
4 , 11/11/2008 17:02:46:416 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:3000.0
4 , 11/11/2008 17:02:46:416 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:416 , ApplicationDAO , getPartApplication , Entered. Memory : 8026560
4 , 11/11/2008 17:02:46:448 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:448 , ApplicationDAO , getPartApplication , Exited. Memory : 6499128
4 , 11/11/2008 17:02:46:448 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:510 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:510 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:510 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:46:510 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:46:510 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:510 , ApplicationDAO , getPartApplication , Entered. Memory : 6115488
4 , 11/11/2008 17:02:46:557 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:573 , ApplicationDAO , getPartApplication , Exited. Memory : 8870976
4 , 11/11/2008 17:02:46:573 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:604 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:620 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:620 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:46:620 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:46:620 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:620 , ApplicationDAO , getPartApplication , Entered. Memory : 8457048
4 , 11/11/2008 17:02:46:635 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:651 , ApplicationDAO , getPartApplication , Exited. Memory : 6909864
4 , 11/11/2008 17:02:46:651 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:682 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:698 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:698 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:4000.0
4 , 11/11/2008 17:02:46:698 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:4000.0
4 , 11/11/2008 17:02:46:698 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:698 , ApplicationDAO , getPartApplication , Entered. Memory : 6498624
4 , 11/11/2008 17:02:46:745 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:745 , ApplicationDAO , getPartApplication , Exited. Memory : 8867640
4 , 11/11/2008 17:02:46:745 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:791 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:791 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:791 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:46:791 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:46:791 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:791 , ApplicationDAO , getPartApplication , Entered. Memory : 8460944
4 , 11/11/2008 17:02:46:823 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:823 , ApplicationDAO , getPartApplication , Exited. Memory : 6906568
4 , 11/11/2008 17:02:46:823 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:870 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:870 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:870 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25192.0
4 , 11/11/2008 17:02:46:870 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25192.0
4 , 11/11/2008 17:02:46:870 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:870 , ApplicationDAO , getPartApplication , Entered. Memory : 6502680
4 , 11/11/2008 17:02:46:917 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:46:932 , ApplicationDAO , getPartApplication , Exited. Memory : 8863464
4 , 11/11/2008 17:02:46:932 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:46:963 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:46:979 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:46:979 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:22000.0
4 , 11/11/2008 17:02:46:979 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:22000.0
4 , 11/11/2008 17:02:46:979 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:46:979 , ApplicationDAO , getPartApplication , Entered. Memory : 8457072
4 , 11/11/2008 17:02:46:995 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:010 , ApplicationDAO , getPartApplication , Exited. Memory : 6911944
4 , 11/11/2008 17:02:47:010 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:042 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:057 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:057 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:47:057 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:47:057 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:057 , ApplicationDAO , getPartApplication , Entered. Memory : 6492176
4 , 11/11/2008 17:02:47:104 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:120 , ApplicationDAO , getPartApplication , Exited. Memory : 9634592
4 , 11/11/2008 17:02:47:120 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:151 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:167 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:167 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:47:167 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:47:167 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:167 , ApplicationDAO , getPartApplication , Entered. Memory : 9230640
4 , 11/11/2008 17:02:47:182 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:198 , ApplicationDAO , getPartApplication , Exited. Memory : 7674192
4 , 11/11/2008 17:02:47:198 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:229 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:245 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:245 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:6000.0
4 , 11/11/2008 17:02:47:245 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:6000.0
4 , 11/11/2008 17:02:47:245 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:245 , ApplicationDAO , getPartApplication , Entered. Memory : 7256848
4 , 11/11/2008 17:02:47:260 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:276 , ApplicationDAO , getPartApplication , Exited. Memory : 5712760
4 , 11/11/2008 17:02:47:276 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:339 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:339 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:339 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:47:339 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:47:339 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:339 , ApplicationDAO , getPartApplication , Entered. Memory : 9990848
4 , 11/11/2008 17:02:47:370 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:370 , ApplicationDAO , getPartApplication , Exited. Memory : 8451952
4 , 11/11/2008 17:02:47:370 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:417 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:417 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:417 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 17:02:47:417 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 17:02:47:417 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:417 , ApplicationDAO , getPartApplication , Entered. Memory : 8016208
4 , 11/11/2008 17:02:47:448 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:448 , ApplicationDAO , getPartApplication , Exited. Memory : 6494776
4 , 11/11/2008 17:02:47:448 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:495 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:495 , AdminDAO , getParameter , Exited
4 , 11/11/2008 17:02:47:495 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:1500.0
4 , 11/11/2008 17:02:47:495 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:1500.0
4 , 11/11/2008 17:02:47:495 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 17:02:47:495 , ApplicationDAO , getPartApplication , Entered. Memory : 6109816
4 , 11/11/2008 17:02:47:542 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 17:02:47:557 , ApplicationDAO , getPartApplication , Exited. Memory : 8848784
4 , 11/11/2008 17:02:47:557 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 17:02:47:589 , AdminDAO , getParameter , Entered
4 , 11/11/2008 17:02:47:604 , AdminDAO , getParameter , Exited
