4 , 22/10/2012 07:03:43:010 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:096 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:097 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:101 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:102 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091234701
4 , 22/10/2012 07:03:43:104 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:105 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:106 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:107 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:108 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:109 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091073101
4 , 22/10/2012 07:03:43:110 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:111 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:112 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:113 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:115 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:116 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091191901
4 , 22/10/2012 07:03:43:117 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:118 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:119 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:120 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:121 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:123 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091293601
4 , 22/10/2012 07:03:43:124 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:125 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:126 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:127 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:128 , ClaimAction , displayClaimApproval() , memId :002200190000
4 , 22/10/2012 07:03:43:129 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090821601
4 , 22/10/2012 07:03:43:131 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:139 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:140 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:141 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:143 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:144 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091871301
4 , 22/10/2012 07:03:43:145 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:147 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:148 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:149 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:150 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:151 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091215301
4 , 22/10/2012 07:03:43:152 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:154 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:155 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:156 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:157 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:158 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100175401
4 , 22/10/2012 07:03:43:160 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:162 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:163 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:164 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:165 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 22/10/2012 07:03:43:166 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI090174501
4 , 22/10/2012 07:03:43:168 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:169 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:170 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:171 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:172 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:173 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091946901
4 , 22/10/2012 07:03:43:175 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:176 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:177 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:178 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:179 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 22/10/2012 07:03:43:180 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090681301
4 , 22/10/2012 07:03:43:182 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:183 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:184 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:185 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:186 , ClaimAction , displayClaimApproval() , memId :003800210000
4 , 22/10/2012 07:03:43:187 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE101215001
4 , 22/10/2012 07:03:43:189 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 22/10/2012 07:03:43:190 , ClaimAction , displayClaimApproval() , forwardedToUser :ROMRAIN0001
4 , 22/10/2012 07:03:43:191 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:192 , ClaimAction , displayClaimApproval() , loggedUsr :AVSYAM0001
4 , 22/10/2012 07:03:43:193 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:194 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 22/10/2012 07:03:43:196 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091248601
4 , 22/10/2012 07:03:43:197 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:198 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:199 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:200 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:202 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 22/10/2012 07:03:43:203 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101543101
4 , 22/10/2012 07:03:43:207 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:209 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:210 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:211 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:212 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:213 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091888401
4 , 22/10/2012 07:03:43:215 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:216 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:217 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:218 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:219 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:221 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101609101
4 , 22/10/2012 07:03:43:222 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:223 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:224 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:225 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:227 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:228 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091858101
4 , 22/10/2012 07:03:43:229 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:230 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:231 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:232 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:236 , ClaimAction , displayClaimApproval() , memId :002504360000
4 , 22/10/2012 07:03:43:237 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100676501
4 , 22/10/2012 07:03:43:239 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:240 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:241 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:242 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:244 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:245 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101590801
4 , 22/10/2012 07:03:43:246 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:247 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:248 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:249 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:251 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:252 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091859801
4 , 22/10/2012 07:03:43:253 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 22/10/2012 07:03:43:254 , ClaimAction , displayClaimApproval() , forwardedToUser :SANBAKS0001
4 , 22/10/2012 07:03:43:255 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:256 , ClaimAction , displayClaimApproval() , loggedUsr :AVSYAM0001
4 , 22/10/2012 07:03:43:258 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:259 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:260 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091201901
4 , 22/10/2012 07:03:43:261 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:262 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:264 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:265 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:266 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:267 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091078701
4 , 22/10/2012 07:03:43:269 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:270 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:271 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:272 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:273 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 22/10/2012 07:03:43:274 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI090180401
4 , 22/10/2012 07:03:43:276 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:277 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:278 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:279 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:280 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:282 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091200801
4 , 22/10/2012 07:03:43:283 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:284 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:285 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:286 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:287 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:289 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091995601
4 , 22/10/2012 07:03:43:290 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:291 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:292 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:294 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:295 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 22/10/2012 07:03:43:296 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100263201
4 , 22/10/2012 07:03:43:297 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:298 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:299 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:304 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:308 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:309 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091219601
4 , 22/10/2012 07:03:43:311 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:312 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:313 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:314 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:315 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 22/10/2012 07:03:43:317 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091291101
4 , 22/10/2012 07:03:43:318 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:319 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:320 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:321 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:322 , ClaimAction , displayClaimApproval() , memId :002501750000
4 , 22/10/2012 07:03:43:324 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100094401
4 , 22/10/2012 07:03:43:325 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:326 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:327 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:328 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:330 , ClaimAction , displayClaimApproval() , memId :000100030000
4 , 22/10/2012 07:03:43:331 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090440801
4 , 22/10/2012 07:03:43:332 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:333 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:334 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:335 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:337 , ClaimAction , displayClaimApproval() , memId :001700360000
4 , 22/10/2012 07:03:43:338 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MA080075101
4 , 22/10/2012 07:03:43:339 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:340 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:341 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:342 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:344 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 22/10/2012 07:03:43:345 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101940001
4 , 22/10/2012 07:03:43:346 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:347 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:348 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:350 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:351 , ClaimAction , displayClaimApproval() , memId :002505520000
4 , 22/10/2012 07:03:43:352 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12TN100334701
4 , 22/10/2012 07:03:43:353 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:354 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:355 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:357 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:358 , ClaimAction , displayClaimApproval() , memId :000500500000
4 , 22/10/2012 07:03:43:359 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB102171301
4 , 22/10/2012 07:03:43:360 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:361 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:363 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:364 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:365 , ClaimAction , displayClaimApproval() , memId :003500000000
4 , 22/10/2012 07:03:43:366 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU100234001
4 , 22/10/2012 07:03:43:367 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 22/10/2012 07:03:43:369 , ClaimAction , displayClaimApproval() , forwardedToUser :SANBAKS0001
4 , 22/10/2012 07:03:43:370 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:371 , ClaimAction , displayClaimApproval() , loggedUsr :AVSYAM0001
4 , 22/10/2012 07:03:43:372 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:373 , ClaimAction , displayClaimApproval() , memId :001100290000
4 , 22/10/2012 07:03:43:375 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101828501
4 , 22/10/2012 07:03:43:376 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:377 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:378 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:379 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:381 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 22/10/2012 07:03:43:382 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP110156401
4 , 22/10/2012 07:03:43:383 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:384 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:385 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:387 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:388 , ClaimAction , displayClaimApproval() , memId :001500180000
4 , 22/10/2012 07:03:43:389 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB100159001
4 , 22/10/2012 07:03:43:390 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:391 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:392 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:394 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:395 , ClaimAction , displayClaimApproval() , memId :002300310000
4 , 22/10/2012 07:03:43:396 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE090482501
4 , 22/10/2012 07:03:43:397 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:398 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:400 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:401 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:402 , ClaimAction , displayClaimApproval() , memId :001400010000
4 , 22/10/2012 07:03:43:403 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100775901
4 , 22/10/2012 07:03:43:404 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:405 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:407 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:408 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:409 , ClaimAction , displayClaimApproval() , memId :002501060000
4 , 22/10/2012 07:03:43:410 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12OR090321201
4 , 22/10/2012 07:03:43:411 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:412 , ClaimAction , displayClaimApproval() , forwardedToUser :ROMRAIN0001
4 , 22/10/2012 07:03:43:414 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:415 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:416 , ClaimAction , displayClaimApproval() , memId :000600190000
4 , 22/10/2012 07:03:43:417 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU100130301
4 , 22/10/2012 07:03:43:418 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:419 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:420 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:422 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:423 , ClaimAction , displayClaimApproval() , memId :000500070000
4 , 22/10/2012 07:03:43:424 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12OR090357801
4 , 22/10/2012 07:03:43:425 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:426 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:427 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:429 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:430 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:431 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100511901
4 , 22/10/2012 07:03:43:432 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:433 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:434 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:436 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:437 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 22/10/2012 07:03:43:438 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091175401
4 , 22/10/2012 07:03:43:439 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:440 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:441 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:443 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:444 , ClaimAction , displayClaimApproval() , memId :003800210000
4 , 22/10/2012 07:03:43:445 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE100255801
4 , 22/10/2012 07:03:43:446 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:447 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:449 , ClaimAction , displayClaimApproval() , ###################
