4 , 22/10/2012 07:02:45:702 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090478601Claim Applied Amount :28114.0
4 , 22/10/2012 07:02:46:648 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100565701Claim Applied Amount :398650.0
4 , 22/10/2012 07:02:46:652 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100565701Recovered Amount :0.0
4 , 22/10/2012 07:02:46:655 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100565701Default Amount :30000.0
4 , 22/10/2012 07:02:46:658 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:661 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:730 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:733 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090044601Oustanding Amount :25000.0
4 , 22/10/2012 07:02:46:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090044601Approved Application Amount :25000.0
4 , 22/10/2012 07:02:46:739 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090044601Claim Applied Amount :18750.0
4 , 22/10/2012 07:02:46:747 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090044601Recovered Amount :0.0
4 , 22/10/2012 07:02:46:750 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090044601Default Amount :469000.0
4 , 22/10/2012 07:02:46:752 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:754 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:819 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:822 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101257701Oustanding Amount :486119.0
4 , 22/10/2012 07:02:46:825 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101257701Approved Application Amount :500000.0
4 , 22/10/2012 07:02:46:832 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101257701Claim Applied Amount :486119.0
4 , 22/10/2012 07:02:46:836 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101257701Recovered Amount :0.0
4 , 22/10/2012 07:02:46:839 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101257701Default Amount :25000.0
4 , 22/10/2012 07:02:46:842 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:843 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:914 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:917 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100497901Oustanding Amount :190000.0
4 , 22/10/2012 07:02:46:920 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100497901Approved Application Amount :190000.0
4 , 22/10/2012 07:02:46:924 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100497901Claim Applied Amount :120258.0
4 , 22/10/2012 07:02:46:927 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100497901Recovered Amount :0.0
4 , 22/10/2012 07:02:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100497901Default Amount :486119.0
4 , 22/10/2012 07:02:46:933 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:935 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:027 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:029 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP090055501Oustanding Amount :23119.0
4 , 22/10/2012 07:02:47:030 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP090055501Approved Application Amount :60000.0
4 , 22/10/2012 07:02:47:032 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP090055501Claim Applied Amount :16590.0
4 , 22/10/2012 07:02:47:034 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP090055501Recovered Amount :0.0
4 , 22/10/2012 07:02:47:035 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP090055501Default Amount :190000.0
4 , 22/10/2012 07:02:47:036 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:038 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:102 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:103 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100134301Oustanding Amount :5351.0
4 , 22/10/2012 07:02:47:105 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100134301Approved Application Amount :6760.0
4 , 22/10/2012 07:02:47:106 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100134301Claim Applied Amount :5351.0
4 , 22/10/2012 07:02:47:108 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100134301Recovered Amount :0.0
4 , 22/10/2012 07:02:47:109 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100134301Default Amount :23119.0
4 , 22/10/2012 07:02:47:110 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:112 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:175 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:177 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101013601Oustanding Amount :77676.0
4 , 22/10/2012 07:02:47:178 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101013601Approved Application Amount :94000.0
4 , 22/10/2012 07:02:47:179 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101013601Claim Applied Amount :54240.0
4 , 22/10/2012 07:02:47:181 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101013601Recovered Amount :0.0
4 , 22/10/2012 07:02:47:182 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101013601Default Amount :5351.0
4 , 22/10/2012 07:02:47:183 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:184 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:249 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:251 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101331401Oustanding Amount :130000.0
4 , 22/10/2012 07:02:47:252 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101331401Approved Application Amount :130000.0
4 , 22/10/2012 07:02:47:253 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101331401Claim Applied Amount :89158.0
4 , 22/10/2012 07:02:47:254 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101331401Recovered Amount :0.0
4 , 22/10/2012 07:02:47:256 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101331401Default Amount :77676.0
4 , 22/10/2012 07:02:47:257 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:258 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:322 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:325 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102865201Oustanding Amount :110072.0
4 , 22/10/2012 07:02:47:328 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102865201Approved Application Amount :190000.0
4 , 22/10/2012 07:02:47:331 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102865201Claim Applied Amount :110073.0
4 , 22/10/2012 07:02:47:334 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102865201Recovered Amount :0.0
4 , 22/10/2012 07:02:47:337 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102865201Default Amount :130000.0
4 , 22/10/2012 07:02:47:339 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:342 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:407 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102213401Oustanding Amount :13231.0
4 , 22/10/2012 07:02:47:413 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102213401Approved Application Amount :15000.0
4 , 22/10/2012 07:02:47:416 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102213401Claim Applied Amount :11931.0
4 , 22/10/2012 07:02:47:418 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102213401Recovered Amount :0.0
4 , 22/10/2012 07:02:47:421 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102213401Default Amount :110072.0
4 , 22/10/2012 07:02:47:427 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:430 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:496 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:500 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101620901Oustanding Amount :475000.0
4 , 22/10/2012 07:02:47:503 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101620901Approved Application Amount :475000.0
4 , 22/10/2012 07:02:47:505 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101620901Claim Applied Amount :287987.0
4 , 22/10/2012 07:02:47:508 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101620901Recovered Amount :0.0
4 , 22/10/2012 07:02:47:510 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101620901Default Amount :13231.0
4 , 22/10/2012 07:02:47:513 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:516 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:579 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090046001Oustanding Amount :20000.0
4 , 22/10/2012 07:02:47:586 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090046001Approved Application Amount :20000.0
4 , 22/10/2012 07:02:47:589 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090046001Claim Applied Amount :18082.5
4 , 22/10/2012 07:02:47:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090046001Recovered Amount :0.0
4 , 22/10/2012 07:02:47:599 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090046001Default Amount :475000.0
4 , 22/10/2012 07:02:47:602 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:604 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:668 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:671 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100190301Oustanding Amount :203935.0
4 , 22/10/2012 07:02:47:674 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100190301Approved Application Amount :270000.0
4 , 22/10/2012 07:02:47:681 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100190301Claim Applied Amount :225000.0
4 , 22/10/2012 07:02:47:683 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100190301Recovered Amount :0.0
4 , 22/10/2012 07:02:47:685 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100190301Default Amount :20000.0
4 , 22/10/2012 07:02:47:686 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:687 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:758 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:761 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090274001Oustanding Amount :89818.0
4 , 22/10/2012 07:02:47:765 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090274001Approved Application Amount :115600.0
4 , 22/10/2012 07:02:47:767 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090274001Claim Applied Amount :65114.0
4 , 22/10/2012 07:02:47:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090274001Recovered Amount :0.0
4 , 22/10/2012 07:02:47:772 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090274001Default Amount :203935.0
4 , 22/10/2012 07:02:47:773 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:774 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:836 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:840 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101889001Oustanding Amount :843238.0
4 , 22/10/2012 07:02:47:843 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101889001Approved Application Amount :890000.0
4 , 22/10/2012 07:02:47:846 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101889001Claim Applied Amount :541823.0
4 , 22/10/2012 07:02:47:849 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101889001Recovered Amount :0.0
4 , 22/10/2012 07:02:47:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101889001Default Amount :89818.0
4 , 22/10/2012 07:02:47:855 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:862 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:47:926 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:47:929 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090088701Oustanding Amount :10418.0
4 , 22/10/2012 07:02:47:932 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090088701Approved Application Amount :12000.0
4 , 22/10/2012 07:02:47:935 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090088701Claim Applied Amount :9000.0
4 , 22/10/2012 07:02:47:938 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090088701Recovered Amount :0.0
4 , 22/10/2012 07:02:47:941 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090088701Default Amount :843238.0
4 , 22/10/2012 07:02:47:944 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:47:947 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:48:010 , CPDAO , isRecoveryDetailsAvailable() , Exited!
