4 , 23/10/2012 04:49:24:695 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101112601
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102031401
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102340101
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , memId :002500010000
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102052101
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:758 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , memId :000100110000
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101101701
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:773 , ClaimAction , displayClaimApproval() , memId :000500120000
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE090831701
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:789 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:49:24:789 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:24:789 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP100083201Oustanding Amount :9821135.0
4 , 23/10/2012 04:49:24:789 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP100083201Approved Application Amount :9900000.0
4 , 23/10/2012 04:49:24:789 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP100083201Claim Applied Amount :6500000.0
4 , 23/10/2012 04:49:24:804 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP100083201Recovered Amount :0.0
4 , 23/10/2012 04:49:24:804 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090347201
4 , 23/10/2012 04:49:24:804 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP100083201Default Amount :284227.0
4 , 23/10/2012 04:49:24:804 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:804 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:24:804 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:804 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , memId :000100060000
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12PU100265301
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:820 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101939701
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , memId :001500010000
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091987201
4 , 23/10/2012 04:49:24:836 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102424701
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:851 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091903001
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:867 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091170301
4 , 23/10/2012 04:49:24:867 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:24:882 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:882 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100496301Oustanding Amount :19000.0
4 , 23/10/2012 04:49:24:882 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:882 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100496301Approved Application Amount :19000.0
4 , 23/10/2012 04:49:24:882 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:882 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100496301Claim Applied Amount :14650.0
4 , 23/10/2012 04:49:24:882 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:882 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100496301Recovered Amount :0.0
4 , 23/10/2012 04:49:24:882 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:898 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100496301Default Amount :9821135.0
4 , 23/10/2012 04:49:24:898 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100109101
4 , 23/10/2012 04:49:24:898 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:24:898 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:898 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:24:898 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:898 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:898 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090020101
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:914 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , memId :002200190000
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090823201
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091065501
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:929 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091593601
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:945 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , memId :001900190000
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12AS080017601
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:960 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:24:960 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:976 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090510901Oustanding Amount :10000.0
4 , 23/10/2012 04:49:24:976 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:976 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090510901Approved Application Amount :10000.0
4 , 23/10/2012 04:49:24:976 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:49:24:976 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090510901Claim Applied Amount :8500.0
4 , 23/10/2012 04:49:24:976 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090680601
4 , 23/10/2012 04:49:24:976 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090510901Recovered Amount :0.0
4 , 23/10/2012 04:49:24:976 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:976 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090510901Default Amount :19000.0
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:992 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:992 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090476101
4 , 23/10/2012 04:49:24:992 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091941801
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:007 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , memId :000100600000
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UT100129801
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:023 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101513401
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101678001
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:038 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:054 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:054 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:054 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:054 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091077101
4 , 23/10/2012 04:49:25:054 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:25:054 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:070 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110477901Oustanding Amount :2000000.0
4 , 23/10/2012 04:49:25:070 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:070 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110477901Approved Application Amount :2000000.0
4 , 23/10/2012 04:49:25:070 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:070 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110477901Claim Applied Amount :1341288.0
4 , 23/10/2012 04:49:25:070 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:085 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110477901Recovered Amount :0.0
4 , 23/10/2012 04:49:25:085 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:085 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110477901Default Amount :10000.0
4 , 23/10/2012 04:49:25:085 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091002301
4 , 23/10/2012 04:49:25:085 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:25:085 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:085 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101589801
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:101 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , memId :000500260000
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102390401
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:116 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA110089701
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091644501
4 , 23/10/2012 04:49:25:132 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , memId :002400000000
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091641401
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:148 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:148 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:25:163 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:163 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005301Oustanding Amount :42380.0
4 , 23/10/2012 04:49:25:163 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:163 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005301Approved Application Amount :47500.0
4 , 23/10/2012 04:49:25:163 , ClaimAction , displayClaimApproval() , memId :002500430000
4 , 23/10/2012 04:49:25:163 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005301Claim Applied Amount :31785.0
4 , 23/10/2012 04:49:25:163 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP100054201
4 , 23/10/2012 04:49:25:163 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005301Recovered Amount :0.0
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:179 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005301Default Amount :2000000.0
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:179 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:179 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:49:25:179 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090023901
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , memId :000600190000
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU080181901
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:194 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090628401
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:49:25:210 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090024501
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , memId :001500180000
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB101330001
4 , 23/10/2012 04:49:25:226 , ClaimAction , displayClaimApproval() , clmStatus :NE
