4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101522401Recovered Amount :0.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110153001Claim Applied Amount :65294.0
4 , 23/10/2012 04:47:54:105 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110153001Recovered Amount :0.0
4 , 23/10/2012 04:47:54:105 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110153001Default Amount :121509.0
4 , 23/10/2012 04:47:54:105 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:105 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:136 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091702001Oustanding Amount :60000.0
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091702001Approved Application Amount :60000.0
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091702001Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091702001Recovered Amount :0.0
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091702001Default Amount :70000.0
4 , 23/10/2012 04:47:54:136 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:136 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:151 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162601Oustanding Amount :60000.0
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162601Approved Application Amount :60000.0
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162601Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162601Recovered Amount :0.0
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162601Default Amount :50000.0
4 , 23/10/2012 04:47:54:151 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:167 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:167 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091877401Oustanding Amount :49412.0
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091877401Approved Application Amount :50000.0
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091877401Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091877401Recovered Amount :0.0
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091877401Default Amount :91917.0
4 , 23/10/2012 04:47:54:167 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:167 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:198 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:214 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100107401Oustanding Amount :60000.0
4 , 23/10/2012 04:47:54:214 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100107401Approved Application Amount :60000.0
4 , 23/10/2012 04:47:54:214 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100107401Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:54:214 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100107401Recovered Amount :0.0
4 , 23/10/2012 04:47:54:214 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100107401Default Amount :60000.0
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449301Oustanding Amount :50000.0
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449301Approved Application Amount :50000.0
4 , 23/10/2012 04:47:54:229 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449301Claim Applied Amount :50000.0
4 , 23/10/2012 04:47:54:229 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449301Recovered Amount :0.0
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100496201Oustanding Amount :60000.0
4 , 23/10/2012 04:47:54:229 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449301Default Amount :60000.0
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100496201Approved Application Amount :60000.0
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100496201Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:54:245 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100496201Recovered Amount :0.0
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100496201Default Amount :49412.0
4 , 23/10/2012 04:47:54:245 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:245 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:292 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:292 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101710701Oustanding Amount :175000.0
4 , 23/10/2012 04:47:54:292 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101710701Approved Application Amount :175000.0
4 , 23/10/2012 04:47:54:307 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101710701Claim Applied Amount :159606.0
4 , 23/10/2012 04:47:54:307 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101710701Recovered Amount :0.0
4 , 23/10/2012 04:47:54:307 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:307 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101710701Default Amount :60000.0
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN110074301Oustanding Amount :87676.0
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN110074301Approved Application Amount :100000.0
4 , 23/10/2012 04:47:54:323 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:323 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN110074301Claim Applied Amount :72237.0
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090492001Oustanding Amount :75000.0
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN110074301Recovered Amount :0.0
4 , 23/10/2012 04:47:54:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090492001Approved Application Amount :75000.0
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN110074301Default Amount :50000.0
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090492001Claim Applied Amount :63750.0
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090492001Recovered Amount :0.0
4 , 23/10/2012 04:47:54:339 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090492001Default Amount :60000.0
4 , 23/10/2012 04:47:54:339 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:339 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:417 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:417 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926201Oustanding Amount :40000.0
4 , 23/10/2012 04:47:54:417 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926201Approved Application Amount :40000.0
4 , 23/10/2012 04:47:54:417 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926201Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:54:417 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926201Recovered Amount :0.0
4 , 23/10/2012 04:47:54:432 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926201Default Amount :175000.0
4 , 23/10/2012 04:47:54:432 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:432 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:432 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:448 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091915601Oustanding Amount :100000.0
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100174001Oustanding Amount :100000.0
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091915601Approved Application Amount :100000.0
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100174001Approved Application Amount :100000.0
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091915601Claim Applied Amount :85000.0
4 , 23/10/2012 04:47:54:448 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100174001Claim Applied Amount :85000.0
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091915601Recovered Amount :0.0
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100174001Recovered Amount :0.0
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091915601Default Amount :87676.0
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100174001Default Amount :75000.0
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:463 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:463 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:463 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:495 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101363601Oustanding Amount :1200000.0
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101363601Approved Application Amount :1200000.0
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101363601Claim Applied Amount :785302.0
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101363601Recovered Amount :0.0
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101363601Default Amount :40000.0
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:495 , ClaimsProcessor , getClaimProcessingDetails() , Exited
4 , 23/10/2012 04:47:54:495 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:495 , ClaimAction , displayClaimApproval() , memId :001400010000
4 , 23/10/2012 04:47:54:495 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102725501
4 , 23/10/2012 04:47:54:510 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , memId :000100030000
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB101069401
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:526 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:526 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100182301Oustanding Amount :30141.0
4 , 23/10/2012 04:47:54:526 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100182301Approved Application Amount :70000.0
4 , 23/10/2012 04:47:54:541 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:541 , ClaimAction , displayClaimApproval() , memId :001900130000
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100182301Claim Applied Amount :25620.0
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100511801Oustanding Amount :60000.0
4 , 23/10/2012 04:47:54:541 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE110307201
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100182301Recovered Amount :0.0
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100511801Approved Application Amount :60000.0
4 , 23/10/2012 04:47:54:541 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100182301Default Amount :100000.0
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100511801Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:54:541 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:541 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:557 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100511801Recovered Amount :0.0
4 , 23/10/2012 04:47:54:557 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:557 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:557 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100511801Default Amount :100000.0
4 , 23/10/2012 04:47:54:557 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:557 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:557 , ClaimAction , displayClaimApproval() , memId :001500020000
4 , 23/10/2012 04:47:54:573 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU090621501
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090087401
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:573 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , memId :000600190000
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU090281301
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101290701
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:588 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , memId :001500120000
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090680201
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , memId :001500200000
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP100522201
4 , 23/10/2012 04:47:54:604 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:619 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:619 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091938001Oustanding Amount :30000.0
4 , 23/10/2012 04:47:54:619 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091938001Approved Application Amount :30000.0
4 , 23/10/2012 04:47:54:619 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091938001Claim Applied Amount :25500.0
4 , 23/10/2012 04:47:54:619 , ClaimAction , displayClaimApproval() , memId :001500120000
4 , 23/10/2012 04:47:54:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091938001Recovered Amount :0.0
4 , 23/10/2012 04:47:54:619 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091938001Default Amount :30141.0
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091602601Oustanding Amount :50000.0
4 , 23/10/2012 04:47:54:635 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090677801
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091602601Approved Application Amount :50000.0
4 , 23/10/2012 04:47:54:635 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:635 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091602601Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:54:635 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091602601Recovered Amount :0.0
4 , 23/10/2012 04:47:54:635 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091602601Default Amount :60000.0
4 , 23/10/2012 04:47:54:635 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:635 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , memId :001500120000
4 , 23/10/2012 04:47:54:651 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB091213901
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:54:651 , ClaimAction , displayClaimApproval() , memId :000100580000
