4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100116101Default Amount :40000.0
4 , 23/10/2012 04:44:17:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100481401Recovered Amount :0.0
4 , 23/10/2012 04:44:17:786 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:786 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100481401Default Amount :50000.0
4 , 23/10/2012 04:44:17:786 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883601Oustanding Amount :5931.0
4 , 23/10/2012 04:44:17:801 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:801 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883601Approved Application Amount :6000.0
4 , 23/10/2012 04:44:17:801 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:801 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883601Claim Applied Amount :5931.0
4 , 23/10/2012 04:44:17:801 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883601Recovered Amount :0.0
4 , 23/10/2012 04:44:17:801 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883601Default Amount :12000.0
4 , 23/10/2012 04:44:17:817 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:817 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:864 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:864 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101020001Oustanding Amount :287250.0
4 , 23/10/2012 04:44:17:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101020001Approved Application Amount :293250.0
4 , 23/10/2012 04:44:17:879 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101020001Claim Applied Amount :293250.0
4 , 23/10/2012 04:44:17:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102238001Oustanding Amount :5766.0
4 , 23/10/2012 04:44:17:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101020001Recovered Amount :0.0
4 , 23/10/2012 04:44:17:895 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102238001Approved Application Amount :6000.0
4 , 23/10/2012 04:44:17:895 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101020001Default Amount :600000.0
4 , 23/10/2012 04:44:17:895 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102238001Claim Applied Amount :5316.0
4 , 23/10/2012 04:44:17:895 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:895 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102238001Recovered Amount :0.0
4 , 23/10/2012 04:44:17:910 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:910 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102238001Default Amount :5931.0
4 , 23/10/2012 04:44:17:910 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:910 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:973 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:973 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:988 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045201Oustanding Amount :13203.0
4 , 23/10/2012 04:44:17:988 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101344901Oustanding Amount :328399.0
4 , 23/10/2012 04:44:17:988 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045201Approved Application Amount :15000.0
4 , 23/10/2012 04:44:17:988 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101344901Approved Application Amount :475000.0
4 , 23/10/2012 04:44:17:988 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045201Claim Applied Amount :8500.0
4 , 23/10/2012 04:44:18:004 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101344901Claim Applied Amount :195299.0
4 , 23/10/2012 04:44:18:004 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045201Recovered Amount :0.0
4 , 23/10/2012 04:44:18:004 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101344901Recovered Amount :0.0
4 , 23/10/2012 04:44:18:004 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045201Default Amount :287250.0
4 , 23/10/2012 04:44:18:020 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101344901Default Amount :5766.0
4 , 23/10/2012 04:44:18:020 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:020 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:020 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:020 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:082 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:082 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101239401Oustanding Amount :2058355.0
4 , 23/10/2012 04:44:18:098 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:098 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101239401Approved Application Amount :2357639.0
4 , 23/10/2012 04:44:18:098 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345401Oustanding Amount :50000.0
4 , 23/10/2012 04:44:18:098 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101239401Claim Applied Amount :2058355.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345401Approved Application Amount :50000.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101239401Recovered Amount :0.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345401Claim Applied Amount :42500.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101239401Default Amount :13203.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345401Recovered Amount :0.0
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345401Default Amount :328399.0
4 , 23/10/2012 04:44:18:113 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:113 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:113 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:191 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:191 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100517801Oustanding Amount :135000.0
4 , 23/10/2012 04:44:18:191 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:191 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100517801Approved Application Amount :135000.0
4 , 23/10/2012 04:44:18:207 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100389601Oustanding Amount :115842.0
4 , 23/10/2012 04:44:18:207 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100517801Claim Applied Amount :114750.0
4 , 23/10/2012 04:44:18:207 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100389601Approved Application Amount :120000.0
4 , 23/10/2012 04:44:18:207 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100517801Recovered Amount :0.0
4 , 23/10/2012 04:44:18:222 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100389601Claim Applied Amount :110000.0
4 , 23/10/2012 04:44:18:222 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100517801Default Amount :2058355.0
4 , 23/10/2012 04:44:18:222 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100389601Recovered Amount :0.0
4 , 23/10/2012 04:44:18:222 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:238 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100389601Default Amount :50000.0
4 , 23/10/2012 04:44:18:238 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:238 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:238 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:300 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:300 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100767101Oustanding Amount :7150.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100767101Approved Application Amount :7150.0
4 , 23/10/2012 04:44:18:316 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100767101Claim Applied Amount :5363.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102124301Oustanding Amount :792000.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100767101Recovered Amount :0.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102124301Approved Application Amount :792000.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100767101Default Amount :135000.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102124301Claim Applied Amount :627750.0
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:316 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102124301Recovered Amount :0.0
4 , 23/10/2012 04:44:18:332 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:332 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102124301Default Amount :115842.0
4 , 23/10/2012 04:44:18:332 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:332 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:394 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:394 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:394 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100536101Oustanding Amount :12000.0
4 , 23/10/2012 04:44:18:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU080158101Oustanding Amount :617092.0
4 , 23/10/2012 04:44:18:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100536101Approved Application Amount :12000.0
4 , 23/10/2012 04:44:18:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU080158101Approved Application Amount :863000.0
4 , 23/10/2012 04:44:18:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100536101Claim Applied Amount :10200.0
4 , 23/10/2012 04:44:18:410 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU080158101Claim Applied Amount :462819.0
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100536101Recovered Amount :0.0
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU080158101Recovered Amount :0.0
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100536101Default Amount :7150.0
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU080158101Default Amount :792000.0
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:425 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:441 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:441 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:503 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:503 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100483601Oustanding Amount :520223.0
4 , 23/10/2012 04:44:18:503 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:503 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100483601Approved Application Amount :690000.0
4 , 23/10/2012 04:44:18:519 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080039301Oustanding Amount :596713.0
4 , 23/10/2012 04:44:18:519 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100483601Claim Applied Amount :517500.0
4 , 23/10/2012 04:44:18:519 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080039301Approved Application Amount :750000.0
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100483601Recovered Amount :0.0
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080039301Claim Applied Amount :321610.0
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100483601Default Amount :12000.0
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080039301Recovered Amount :0.0
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080039301Default Amount :617092.0
4 , 23/10/2012 04:44:18:534 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:534 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:534 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:18:612 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:612 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080468001Oustanding Amount :583415.0
4 , 23/10/2012 04:44:18:612 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:18:612 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080468001Approved Application Amount :1050000.0
4 , 23/10/2012 04:44:18:612 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100640201Oustanding Amount :25000.0
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080468001Claim Applied Amount :396311.25
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100640201Approved Application Amount :25000.0
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080468001Recovered Amount :0.0
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100640201Claim Applied Amount :21250.0
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080468001Default Amount :520223.0
4 , 23/10/2012 04:44:18:628 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100640201Recovered Amount :0.0
4 , 23/10/2012 04:44:18:644 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:18:644 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100640201Default Amount :596713.0
4 , 23/10/2012 04:44:18:644 , CPDAO , isRecoveryDetailsAvailable() , Entered!
