4 , 23/10/2012 04:47:20:408 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101716301Claim Applied Amount :40000.0
4 , 23/10/2012 04:47:20:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100910101Default Amount :90588.0
4 , 23/10/2012 04:47:20:658 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:658 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:704 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091631701Oustanding Amount :30000.0
4 , 23/10/2012 04:47:20:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091631701Approved Application Amount :30000.0
4 , 23/10/2012 04:47:20:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091631701Claim Applied Amount :25500.0
4 , 23/10/2012 04:47:20:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091631701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091631701Default Amount :25000.0
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:720 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:720 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102129801Oustanding Amount :400000.0
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102129801Approved Application Amount :400000.0
4 , 23/10/2012 04:47:20:720 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102129801Claim Applied Amount :300000.0
4 , 23/10/2012 04:47:20:720 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100471301Oustanding Amount :1044310.04
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102129801Recovered Amount :0.0
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100471301Approved Application Amount :1192000.0
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102129801Default Amount :90000.0
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100471301Claim Applied Amount :953600.0
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100471301Recovered Amount :0.0
4 , 23/10/2012 04:47:20:736 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100471301Default Amount :211517.0
4 , 23/10/2012 04:47:20:736 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:736 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:782 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:782 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108301Oustanding Amount :48107.0
4 , 23/10/2012 04:47:20:798 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108301Approved Application Amount :50000.0
4 , 23/10/2012 04:47:20:798 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108301Claim Applied Amount :40891.0
4 , 23/10/2012 04:47:20:798 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108301Recovered Amount :0.0
4 , 23/10/2012 04:47:20:798 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100108301Default Amount :30000.0
4 , 23/10/2012 04:47:20:798 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:798 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:814 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090180701Oustanding Amount :25000.0
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090180701Approved Application Amount :25000.0
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090180701Claim Applied Amount :21250.0
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090180701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI090180701Default Amount :400000.0
4 , 23/10/2012 04:47:20:814 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:814 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR100427001Oustanding Amount :23015.0
4 , 23/10/2012 04:47:20:829 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR100427001Approved Application Amount :23750.0
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR100427001Claim Applied Amount :9998.0
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR100427001Recovered Amount :0.0
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR100427001Default Amount :1044310.04
4 , 23/10/2012 04:47:20:829 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:829 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:860 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:860 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091525701Oustanding Amount :50000.0
4 , 23/10/2012 04:47:20:860 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091525701Approved Application Amount :50000.0
4 , 23/10/2012 04:47:20:876 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091525701Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:20:876 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091525701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:876 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091525701Default Amount :48107.0
4 , 23/10/2012 04:47:20:892 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:892 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:892 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:892 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:892 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090225701Oustanding Amount :11804.52
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090165401Oustanding Amount :90000.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090225701Approved Application Amount :15000.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090165401Approved Application Amount :90000.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090225701Claim Applied Amount :3000.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090165401Claim Applied Amount :76500.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090225701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090165401Recovered Amount :0.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090225701Default Amount :25000.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090165401Default Amount :23015.0
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:907 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:907 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:907 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:954 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925501Oustanding Amount :25000.0
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925501Approved Application Amount :25000.0
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925501Claim Applied Amount :21250.0
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925501Recovered Amount :0.0
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925501Default Amount :50000.0
4 , 23/10/2012 04:47:20:954 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:954 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:985 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:985 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510001Oustanding Amount :100000.0
4 , 23/10/2012 04:47:20:985 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510001Approved Application Amount :100000.0
4 , 23/10/2012 04:47:20:985 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510001Claim Applied Amount :85000.0
4 , 23/10/2012 04:47:20:985 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510001Recovered Amount :0.0
4 , 23/10/2012 04:47:20:985 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510001Default Amount :11804.52
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091705801Oustanding Amount :40000.0
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091705801Approved Application Amount :40000.0
4 , 23/10/2012 04:47:21:001 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091705801Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091705801Recovered Amount :0.0
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091705801Default Amount :90000.0
4 , 23/10/2012 04:47:21:001 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:001 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:016 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:016 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840701Oustanding Amount :75000.0
4 , 23/10/2012 04:47:21:016 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840701Approved Application Amount :75000.0
4 , 23/10/2012 04:47:21:016 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840701Claim Applied Amount :63750.0
4 , 23/10/2012 04:47:21:032 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840701Recovered Amount :0.0
4 , 23/10/2012 04:47:21:032 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091840701Default Amount :25000.0
4 , 23/10/2012 04:47:21:032 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:032 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:079 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:079 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091679501Oustanding Amount :40000.0
4 , 23/10/2012 04:47:21:079 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:079 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091679501Approved Application Amount :40000.0
4 , 23/10/2012 04:47:21:079 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091561201Oustanding Amount :50000.0
4 , 23/10/2012 04:47:21:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091679501Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:21:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091561201Approved Application Amount :50000.0
4 , 23/10/2012 04:47:21:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091679501Recovered Amount :0.0
4 , 23/10/2012 04:47:21:094 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091561201Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091679501Default Amount :100000.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683501Oustanding Amount :50000.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091561201Recovered Amount :0.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683501Approved Application Amount :50000.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091561201Default Amount :40000.0
4 , 23/10/2012 04:47:21:110 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683501Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683501Recovered Amount :0.0
4 , 23/10/2012 04:47:21:110 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:110 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683501Default Amount :75000.0
4 , 23/10/2012 04:47:21:126 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:126 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:172 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:172 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510501Oustanding Amount :60000.0
4 , 23/10/2012 04:47:21:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510501Approved Application Amount :60000.0
4 , 23/10/2012 04:47:21:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510501Claim Applied Amount :51000.0
4 , 23/10/2012 04:47:21:188 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510501Recovered Amount :0.0
4 , 23/10/2012 04:47:21:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Oustanding Amount :40749.0
4 , 23/10/2012 04:47:21:188 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100510501Default Amount :40000.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Approved Application Amount :50000.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101598101Oustanding Amount :40000.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101598101Approved Application Amount :40000.0
4 , 23/10/2012 04:47:21:204 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Recovered Amount :0.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101598101Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Default Amount :50000.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101598101Recovered Amount :0.0
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:204 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101598101Default Amount :50000.0
4 , 23/10/2012 04:47:21:219 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:219 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:21:219 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:21:266 , CPDAO , isRecoveryDetailsAvailable() , Exited!
