4 , 22/10/2012 07:01:10:932 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:120 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:122 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:193 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:195 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091108001Oustanding Amount :40000.0
4 , 22/10/2012 07:01:11:198 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091108001Approved Application Amount :40000.0
4 , 22/10/2012 07:01:11:201 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091108001Claim Applied Amount :34000.0
4 , 22/10/2012 07:01:11:203 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091108001Recovered Amount :0.0
4 , 22/10/2012 07:01:11:206 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091108001Default Amount :40000.0
4 , 22/10/2012 07:01:11:208 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:209 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:272 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:275 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991601Oustanding Amount :31551.0
4 , 22/10/2012 07:01:11:277 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991601Approved Application Amount :50000.0
4 , 22/10/2012 07:01:11:280 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991601Claim Applied Amount :26837.0
4 , 22/10/2012 07:01:11:283 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991601Recovered Amount :0.0
4 , 22/10/2012 07:01:11:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090991601Default Amount :40000.0
4 , 22/10/2012 07:01:11:288 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:291 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:360 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:363 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091649101Oustanding Amount :100000.0
4 , 22/10/2012 07:01:11:366 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091649101Approved Application Amount :100000.0
4 , 22/10/2012 07:01:11:368 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091649101Claim Applied Amount :85000.0
4 , 22/10/2012 07:01:11:371 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091649101Recovered Amount :0.0
4 , 22/10/2012 07:01:11:374 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091649101Default Amount :31551.0
4 , 22/10/2012 07:01:11:377 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:380 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:443 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:446 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100336501Oustanding Amount :1000000.0
4 , 22/10/2012 07:01:11:449 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100336501Approved Application Amount :1000000.0
4 , 22/10/2012 07:01:11:451 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100336501Claim Applied Amount :1000000.0
4 , 22/10/2012 07:01:11:453 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100336501Recovered Amount :0.0
4 , 22/10/2012 07:01:11:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100336501Default Amount :100000.0
4 , 22/10/2012 07:01:11:457 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:459 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:524 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:527 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100320801Oustanding Amount :22557.0
4 , 22/10/2012 07:01:11:530 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100320801Approved Application Amount :25000.0
4 , 22/10/2012 07:01:11:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100320801Claim Applied Amount :25000.0
4 , 22/10/2012 07:01:11:536 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100320801Recovered Amount :0.0
4 , 22/10/2012 07:01:11:539 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100320801Default Amount :1000000.0
4 , 22/10/2012 07:01:11:540 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:541 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:605 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:608 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111901Oustanding Amount :99284.0
4 , 22/10/2012 07:01:11:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111901Approved Application Amount :100000.0
4 , 22/10/2012 07:01:11:614 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111901Claim Applied Amount :84446.0
4 , 22/10/2012 07:01:11:617 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111901Recovered Amount :0.0
4 , 22/10/2012 07:01:11:620 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111901Default Amount :22557.0
4 , 22/10/2012 07:01:11:622 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:625 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:686 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090869801Oustanding Amount :25000.0
4 , 22/10/2012 07:01:11:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090869801Approved Application Amount :25000.0
4 , 22/10/2012 07:01:11:694 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090869801Claim Applied Amount :21250.0
4 , 22/10/2012 07:01:11:697 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090869801Recovered Amount :0.0
4 , 22/10/2012 07:01:11:702 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090869801Default Amount :99284.0
4 , 22/10/2012 07:01:11:705 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:708 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:773 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:776 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101332201Oustanding Amount :80000.0
4 , 22/10/2012 07:01:11:778 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101332201Approved Application Amount :80000.0
4 , 22/10/2012 07:01:11:781 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101332201Claim Applied Amount :68000.0
4 , 22/10/2012 07:01:11:784 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101332201Recovered Amount :0.0
4 , 22/10/2012 07:01:11:787 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101332201Default Amount :25000.0
4 , 22/10/2012 07:01:11:790 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:792 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:870 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:873 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090500801Oustanding Amount :33945.0
4 , 22/10/2012 07:01:11:876 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090500801Approved Application Amount :50000.0
4 , 22/10/2012 07:01:11:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090500801Claim Applied Amount :28853.0
4 , 22/10/2012 07:01:11:882 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090500801Recovered Amount :0.0
4 , 22/10/2012 07:01:11:885 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090500801Default Amount :80000.0
4 , 22/10/2012 07:01:11:888 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:891 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:957 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:960 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101395101Oustanding Amount :13890.0
4 , 22/10/2012 07:01:11:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101395101Approved Application Amount :15000.0
4 , 22/10/2012 07:01:11:962 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101395101Claim Applied Amount :11890.0
4 , 22/10/2012 07:01:11:964 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101395101Recovered Amount :0.0
4 , 22/10/2012 07:01:11:965 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101395101Default Amount :33945.0
4 , 22/10/2012 07:01:11:966 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:967 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:035 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:038 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090434601Oustanding Amount :466065.0
4 , 22/10/2012 07:01:12:042 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090434601Approved Application Amount :880000.0
4 , 22/10/2012 07:01:12:045 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090434601Claim Applied Amount :333715.0
4 , 22/10/2012 07:01:12:050 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090434601Recovered Amount :0.0
4 , 22/10/2012 07:01:12:051 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090434601Default Amount :13890.0
4 , 22/10/2012 07:01:12:052 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:054 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:117 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:120 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101099601Oustanding Amount :7150.0
4 , 22/10/2012 07:01:12:123 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101099601Approved Application Amount :7150.0
4 , 22/10/2012 07:01:12:126 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101099601Claim Applied Amount :5363.0
4 , 22/10/2012 07:01:12:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101099601Recovered Amount :0.0
4 , 22/10/2012 07:01:12:132 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101099601Default Amount :466065.0
4 , 22/10/2012 07:01:12:135 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:137 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:210 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:213 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091884301Oustanding Amount :40000.0
4 , 22/10/2012 07:01:12:216 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091884301Approved Application Amount :40000.0
4 , 22/10/2012 07:01:12:219 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091884301Claim Applied Amount :34000.0
4 , 22/10/2012 07:01:12:222 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091884301Recovered Amount :0.0
4 , 22/10/2012 07:01:12:225 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091884301Default Amount :7150.0
4 , 22/10/2012 07:01:12:229 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:230 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:296 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:299 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102149101Oustanding Amount :250000.0
4 , 22/10/2012 07:01:12:306 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102149101Approved Application Amount :250000.0
4 , 22/10/2012 07:01:12:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102149101Claim Applied Amount :187500.0
4 , 22/10/2012 07:01:12:312 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102149101Recovered Amount :0.0
4 , 22/10/2012 07:01:12:315 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102149101Default Amount :40000.0
4 , 22/10/2012 07:01:12:317 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:318 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:384 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:387 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100032501Oustanding Amount :500000.0
4 , 22/10/2012 07:01:12:390 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100032501Approved Application Amount :500000.0
4 , 22/10/2012 07:01:12:393 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100032501Claim Applied Amount :375000.0
4 , 22/10/2012 07:01:12:396 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100032501Recovered Amount :0.0
4 , 22/10/2012 07:01:12:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100032501Default Amount :250000.0
4 , 22/10/2012 07:01:12:402 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:405 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:470 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:473 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100267001Oustanding Amount :40000.0
4 , 22/10/2012 07:01:12:476 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100267001Approved Application Amount :40000.0
4 , 22/10/2012 07:01:12:479 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100267001Claim Applied Amount :37167.0
4 , 22/10/2012 07:01:12:482 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100267001Recovered Amount :0.0
4 , 22/10/2012 07:01:12:485 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100267001Default Amount :500000.0
4 , 22/10/2012 07:01:12:488 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:492 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:557 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:559 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100123501Oustanding Amount :3003.0
4 , 22/10/2012 07:01:12:561 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100123501Approved Application Amount :5800.0
4 , 22/10/2012 07:01:12:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100123501Claim Applied Amount :3003.0
4 , 22/10/2012 07:01:12:565 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100123501Recovered Amount :0.0
4 , 22/10/2012 07:01:12:568 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100123501Default Amount :40000.0
4 , 22/10/2012 07:01:12:570 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:572 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:642 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:645 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100623901Oustanding Amount :225000.0
4 , 22/10/2012 07:01:12:648 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100623901Approved Application Amount :225000.0
4 , 22/10/2012 07:01:12:652 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100623901Claim Applied Amount :225000.0
4 , 22/10/2012 07:01:12:655 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100623901Recovered Amount :0.0
4 , 22/10/2012 07:01:12:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100623901Default Amount :3003.0
4 , 22/10/2012 07:01:12:661 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:667 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:733 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100601Oustanding Amount :7150.0
4 , 22/10/2012 07:01:12:740 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100601Approved Application Amount :7150.0
4 , 22/10/2012 07:01:12:743 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100601Claim Applied Amount :5363.0
4 , 22/10/2012 07:01:12:746 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100601Recovered Amount :0.0
4 , 22/10/2012 07:01:12:749 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100601Default Amount :225000.0
4 , 22/10/2012 07:01:12:752 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:755 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:822 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:825 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100196001Oustanding Amount :430881.0
4 , 22/10/2012 07:01:12:832 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100196001Approved Application Amount :475000.0
4 , 22/10/2012 07:01:12:835 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100196001Claim Applied Amount :262130.65
4 , 22/10/2012 07:01:12:837 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100196001Recovered Amount :0.0
4 , 22/10/2012 07:01:12:840 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100196001Default Amount :7150.0
4 , 22/10/2012 07:01:12:843 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:845 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:12:917 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:12:920 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI100016401Oustanding Amount :1086326.41
4 , 22/10/2012 07:01:12:923 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI100016401Approved Application Amount :1142000.0
4 , 22/10/2012 07:01:12:925 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI100016401Claim Applied Amount :965429.53
4 , 22/10/2012 07:01:12:928 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI100016401Recovered Amount :0.0
4 , 22/10/2012 07:01:12:931 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI100016401Default Amount :430881.0
4 , 22/10/2012 07:01:12:934 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:12:937 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:13:003 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:13:005 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102208601Oustanding Amount :25000.0
4 , 22/10/2012 07:01:13:006 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102208601Approved Application Amount :25000.0
4 , 22/10/2012 07:01:13:009 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102208601Claim Applied Amount :21127.0
4 , 22/10/2012 07:01:13:012 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102208601Recovered Amount :0.0
4 , 22/10/2012 07:01:13:015 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102208601Default Amount :1086326.41
4 , 22/10/2012 07:01:13:019 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:13:022 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:13:087 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:13:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080069001Oustanding Amount :500000.0
4 , 22/10/2012 07:01:13:097 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080069001Approved Application Amount :500000.0
4 , 22/10/2012 07:01:13:100 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080069001Claim Applied Amount :498000.0
4 , 22/10/2012 07:01:13:103 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080069001Recovered Amount :0.0
4 , 22/10/2012 07:01:13:105 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080069001Default Amount :25000.0
4 , 22/10/2012 07:01:13:108 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:13:111 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:13:176 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:13:179 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090493501Oustanding Amount :140000.0
4 , 22/10/2012 07:01:13:182 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090493501Approved Application Amount :140000.0
4 , 22/10/2012 07:01:13:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090493501Claim Applied Amount :129237.75
4 , 22/10/2012 07:01:13:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090493501Recovered Amount :0.0
4 , 22/10/2012 07:01:13:191 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090493501Default Amount :500000.0
4 , 22/10/2012 07:01:13:193 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:13:196 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:13:260 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:13:264 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101248001Oustanding Amount :39830.0
4 , 22/10/2012 07:01:13:267 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101248001Approved Application Amount :40000.0
4 , 22/10/2012 07:01:13:270 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101248001Claim Applied Amount :33855.0
4 , 22/10/2012 07:01:13:273 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101248001Recovered Amount :0.0
