4 , 23/10/2012 06:29:40:409 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090720001Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:41:674 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101878301Default Amount :31500.0
4 , 23/10/2012 06:29:41:675 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:676 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:742 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:744 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100274401Oustanding Amount :124509.0
4 , 23/10/2012 06:29:41:745 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100274401Approved Application Amount :150000.0
4 , 23/10/2012 06:29:41:746 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100274401Claim Applied Amount :150000.0
4 , 23/10/2012 06:29:41:747 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100274401Recovered Amount :0.0
4 , 23/10/2012 06:29:41:748 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS100274401Default Amount :2112000.0
4 , 23/10/2012 06:29:41:749 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:750 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:812 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:815 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100533001Oustanding Amount :12000.0
4 , 23/10/2012 06:29:41:818 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100533001Approved Application Amount :12000.0
4 , 23/10/2012 06:29:41:821 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100533001Claim Applied Amount :10200.0
4 , 23/10/2012 06:29:41:824 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100533001Recovered Amount :0.0
4 , 23/10/2012 06:29:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100533001Default Amount :124509.0
4 , 23/10/2012 06:29:41:829 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:831 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:890 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:894 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100426701Oustanding Amount :134860.0
4 , 23/10/2012 06:29:41:897 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100426701Approved Application Amount :142500.0
4 , 23/10/2012 06:29:41:900 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100426701Claim Applied Amount :91999.0
4 , 23/10/2012 06:29:41:903 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100426701Recovered Amount :0.0
4 , 23/10/2012 06:29:41:906 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100426701Default Amount :12000.0
4 , 23/10/2012 06:29:41:909 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:912 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:975 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:978 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE090648801Oustanding Amount :209831.0
4 , 23/10/2012 06:29:41:981 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE090648801Approved Application Amount :255000.0
4 , 23/10/2012 06:29:41:984 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE090648801Claim Applied Amount :191250.0
4 , 23/10/2012 06:29:41:987 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE090648801Recovered Amount :0.0
4 , 23/10/2012 06:29:41:990 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE090648801Default Amount :134860.0
4 , 23/10/2012 06:29:41:997 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:003 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:081 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:084 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091217101Oustanding Amount :150000.0
4 , 23/10/2012 06:29:42:088 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091217101Approved Application Amount :150000.0
4 , 23/10/2012 06:29:42:091 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091217101Claim Applied Amount :150000.0
4 , 23/10/2012 06:29:42:093 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091217101Recovered Amount :0.0
4 , 23/10/2012 06:29:42:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB091217101Default Amount :209831.0
4 , 23/10/2012 06:29:42:099 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:102 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:172 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:174 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12JH100378501Oustanding Amount :117470.0
4 , 23/10/2012 06:29:42:176 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12JH100378501Approved Application Amount :128535.0
4 , 23/10/2012 06:29:42:177 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12JH100378501Claim Applied Amount :56668.0
4 , 23/10/2012 06:29:42:178 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12JH100378501Recovered Amount :0.0
4 , 23/10/2012 06:29:42:179 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12JH100378501Default Amount :150000.0
4 , 23/10/2012 06:29:42:180 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:181 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:248 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:252 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091874801Oustanding Amount :85245.0
4 , 23/10/2012 06:29:42:255 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091874801Approved Application Amount :100000.0
4 , 23/10/2012 06:29:42:258 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091874801Claim Applied Amount :72459.0
4 , 23/10/2012 06:29:42:261 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091874801Recovered Amount :0.0
4 , 23/10/2012 06:29:42:264 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091874801Default Amount :117470.0
4 , 23/10/2012 06:29:42:266 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:269 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:333 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:336 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090738701Oustanding Amount :50000.0
4 , 23/10/2012 06:29:42:339 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090738701Approved Application Amount :50000.0
4 , 23/10/2012 06:29:42:342 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090738701Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:42:345 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090738701Recovered Amount :0.0
4 , 23/10/2012 06:29:42:347 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090738701Default Amount :85245.0
4 , 23/10/2012 06:29:42:350 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:353 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:416 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:419 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102719301Oustanding Amount :44500.0
4 , 23/10/2012 06:29:42:422 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102719301Approved Application Amount :100000.0
4 , 23/10/2012 06:29:42:423 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102719301Claim Applied Amount :34000.0
4 , 23/10/2012 06:29:42:424 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102719301Recovered Amount :0.0
4 , 23/10/2012 06:29:42:425 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102719301Default Amount :50000.0
4 , 23/10/2012 06:29:42:426 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:427 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:488 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:491 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501001Oustanding Amount :60000.0
4 , 23/10/2012 06:29:42:494 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501001Approved Application Amount :60000.0
4 , 23/10/2012 06:29:42:496 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501001Claim Applied Amount :51000.0
4 , 23/10/2012 06:29:42:499 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501001Recovered Amount :0.0
4 , 23/10/2012 06:29:42:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501001Default Amount :44500.0
4 , 23/10/2012 06:29:42:505 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:507 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:42:573 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:42:574 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100890901Oustanding Amount :25000.0
4 , 23/10/2012 06:29:42:575 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100890901Approved Application Amount :25000.0
4 , 23/10/2012 06:29:42:577 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100890901Claim Applied Amount :21250.0
4 , 23/10/2012 06:29:42:578 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100890901Recovered Amount :0.0
4 , 23/10/2012 06:29:42:579 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100890901Default Amount :60000.0
4 , 23/10/2012 06:29:42:580 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:42:582 , CPDAO , isRecoveryDetailsAvailable() , Entered!
