4 , 23/10/2012 04:48:07:630 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090258301Default Amount :193309.0
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100121401Oustanding Amount :12500.0
4 , 23/10/2012 04:48:07:755 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100121401Approved Application Amount :12500.0
4 , 23/10/2012 04:48:07:755 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:07:755 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100121401Claim Applied Amount :10000.0
4 , 23/10/2012 04:48:07:755 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091078101
4 , 23/10/2012 04:48:07:755 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100121401Recovered Amount :0.0
4 , 23/10/2012 04:48:07:755 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100121401Default Amount :82531.0
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:770 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:770 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091983901
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:770 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091601901
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091584901
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:786 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091627401
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , memId :001500070000
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB110265401
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:802 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090280701
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100536701
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:817 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:07:817 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090362301Oustanding Amount :22400.0
4 , 23/10/2012 04:48:07:833 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090362301Approved Application Amount :22400.0
4 , 23/10/2012 04:48:07:833 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090362301Claim Applied Amount :19040.0
4 , 23/10/2012 04:48:07:833 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090762201
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090362301Recovered Amount :0.0
4 , 23/10/2012 04:48:07:833 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:07:833 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090362301Default Amount :30844.0
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102164301Oustanding Amount :5824.0
4 , 23/10/2012 04:48:07:833 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:833 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:848 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102164301Approved Application Amount :6000.0
4 , 23/10/2012 04:48:07:848 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:848 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:848 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102164301Claim Applied Amount :5424.0
4 , 23/10/2012 04:48:07:848 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:848 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102164301Recovered Amount :0.0
4 , 23/10/2012 04:48:07:848 , ClaimAction , displayClaimApproval() , memId :003800180000
4 , 23/10/2012 04:48:07:848 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102164301Default Amount :12500.0
4 , 23/10/2012 04:48:07:848 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE060307401
4 , 23/10/2012 04:48:07:848 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:848 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:864 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090146901
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , memId :002501120000
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12HA100088701
4 , 23/10/2012 04:48:07:864 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , memId :002300190000
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12TN070373101
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , memId :003000020000
4 , 23/10/2012 04:48:07:880 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA100725301
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , memId :003600040000
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12AS090095001
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:895 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:895 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:07:911 , ClaimAction , displayClaimApproval() , memId :001500200000
4 , 23/10/2012 04:48:07:911 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090484401Oustanding Amount :199531.0
4 , 23/10/2012 04:48:07:911 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP100390401
4 , 23/10/2012 04:48:07:926 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090484401Approved Application Amount :227000.0
4 , 23/10/2012 04:48:07:942 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:942 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:07:942 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090484401Claim Applied Amount :93173.0
4 , 23/10/2012 04:48:07:942 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:942 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI070001201Oustanding Amount :124000.0
4 , 23/10/2012 04:48:07:958 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090484401Recovered Amount :0.0
4 , 23/10/2012 04:48:07:958 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:958 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI070001201Approved Application Amount :124000.0
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR090484401Default Amount :22400.0
4 , 23/10/2012 04:48:07:973 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI070001201Claim Applied Amount :93000.0
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:973 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI070001201Recovered Amount :0.0
4 , 23/10/2012 04:48:07:973 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:973 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090768101
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12SI070001201Default Amount :5824.0
4 , 23/10/2012 04:48:07:973 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:973 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:989 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , memId :000100050000
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12CG100011701
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , memId :000100300000
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KA110052201
4 , 23/10/2012 04:48:07:989 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100375601
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100177901
4 , 23/10/2012 04:48:08:004 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100182401
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:48:08:020 , ClaimAction , displayClaimApproval() , ##################
