4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:200 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:247 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:247 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101096901Oustanding Amount :6547.0
4 , 23/10/2012 04:46:14:247 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101096901Approved Application Amount :6900.0
4 , 23/10/2012 04:46:14:263 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101096901Claim Applied Amount :4585.0
4 , 23/10/2012 04:46:14:263 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101096901Recovered Amount :0.0
4 , 23/10/2012 04:46:14:263 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101096901Default Amount :49000.0
4 , 23/10/2012 04:46:14:263 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:263 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:294 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:294 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101344301Oustanding Amount :140000.0
4 , 23/10/2012 04:46:14:294 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:294 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101344301Approved Application Amount :140000.0
4 , 23/10/2012 04:46:14:294 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT090026201Oustanding Amount :614796.0
4 , 23/10/2012 04:46:14:294 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101344301Claim Applied Amount :105441.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT090026201Approved Application Amount :810000.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101344301Recovered Amount :0.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT090026201Claim Applied Amount :571473.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101344301Default Amount :105730.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT090026201Recovered Amount :0.0
4 , 23/10/2012 04:46:14:309 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:325 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT090026201Default Amount :160000.0
4 , 23/10/2012 04:46:14:325 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:325 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:325 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:356 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101325701Oustanding Amount :1088559.0
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101325701Approved Application Amount :1140000.0
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101325701Claim Applied Amount :713819.0
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101325701Recovered Amount :0.0
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101325701Default Amount :6547.0
4 , 23/10/2012 04:46:14:356 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:372 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:387 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:387 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:387 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090258801Oustanding Amount :113833.0
4 , 23/10/2012 04:46:14:387 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585501Oustanding Amount :40000.0
4 , 23/10/2012 04:46:14:387 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090258801Approved Application Amount :180000.0
4 , 23/10/2012 04:46:14:403 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585501Approved Application Amount :40000.0
4 , 23/10/2012 04:46:14:403 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090258801Claim Applied Amount :67700.0
4 , 23/10/2012 04:46:14:403 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585501Claim Applied Amount :34000.0
4 , 23/10/2012 04:46:14:403 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090258801Recovered Amount :0.0
4 , 23/10/2012 04:46:14:403 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585501Recovered Amount :0.0
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090258801Default Amount :140000.0
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585501Default Amount :614796.0
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:419 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:419 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:419 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080255501Oustanding Amount :450000.0
4 , 23/10/2012 04:46:14:419 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080255501Approved Application Amount :450000.0
4 , 23/10/2012 04:46:14:434 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080255501Claim Applied Amount :445000.0
4 , 23/10/2012 04:46:14:434 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080255501Recovered Amount :0.0
4 , 23/10/2012 04:46:14:434 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN080255501Default Amount :1088559.0
4 , 23/10/2012 04:46:14:434 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:434 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:481 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:481 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:481 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090714401Oustanding Amount :25000.0
4 , 23/10/2012 04:46:14:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102669101Oustanding Amount :154000.0
4 , 23/10/2012 04:46:14:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090714401Approved Application Amount :25000.0
4 , 23/10/2012 04:46:14:497 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102669101Approved Application Amount :154000.0
4 , 23/10/2012 04:46:14:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090714401Claim Applied Amount :21250.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101953901Oustanding Amount :496774.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102669101Claim Applied Amount :115500.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090714401Recovered Amount :0.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101953901Approved Application Amount :500000.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102669101Recovered Amount :0.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090714401Default Amount :40000.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101953901Claim Applied Amount :426832.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102669101Default Amount :113833.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101953901Recovered Amount :0.0
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:512 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:512 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN101953901Default Amount :450000.0
4 , 23/10/2012 04:46:14:528 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:528 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:528 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:590 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:590 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090930501Oustanding Amount :50000.0
4 , 23/10/2012 04:46:14:590 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090930501Approved Application Amount :50000.0
4 , 23/10/2012 04:46:14:590 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:606 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:606 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090930501Claim Applied Amount :42500.0
4 , 23/10/2012 04:46:14:606 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102237901Oustanding Amount :13139.0
4 , 23/10/2012 04:46:14:606 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767401Oustanding Amount :13839.0
4 , 23/10/2012 04:46:14:606 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090930501Recovered Amount :0.0
4 , 23/10/2012 04:46:14:606 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102237901Approved Application Amount :15000.0
4 , 23/10/2012 04:46:14:621 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767401Approved Application Amount :15000.0
4 , 23/10/2012 04:46:14:621 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090930501Default Amount :25000.0
4 , 23/10/2012 04:46:14:621 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102237901Claim Applied Amount :12539.0
4 , 23/10/2012 04:46:14:621 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767401Claim Applied Amount :11550.0
4 , 23/10/2012 04:46:14:621 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102237901Recovered Amount :0.0
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767401Recovered Amount :0.0
4 , 23/10/2012 04:46:14:637 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102237901Default Amount :154000.0
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767401Default Amount :496774.0
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:637 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:637 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:637 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:699 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090994201Oustanding Amount :37036.0
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090994201Approved Application Amount :150000.0
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090994201Claim Applied Amount :31499.0
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090994201Recovered Amount :0.0
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090994201Default Amount :50000.0
4 , 23/10/2012 04:46:14:699 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:699 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:715 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100066001Oustanding Amount :106742.0
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100066001Approved Application Amount :144000.0
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100066001Claim Applied Amount :80056.0
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100066001Recovered Amount :0.0
4 , 23/10/2012 04:46:14:715 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100066001Default Amount :13839.0
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100014601Oustanding Amount :1642112.0
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100014601Approved Application Amount :1800000.0
4 , 23/10/2012 04:46:14:715 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100014601Claim Applied Amount :1106584.0
4 , 23/10/2012 04:46:14:731 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100014601Recovered Amount :0.0
4 , 23/10/2012 04:46:14:731 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100014601Default Amount :13139.0
4 , 23/10/2012 04:46:14:731 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:731 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:762 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:762 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091617301Oustanding Amount :50000.0
4 , 23/10/2012 04:46:14:777 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091617301Approved Application Amount :50000.0
4 , 23/10/2012 04:46:14:777 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091617301Claim Applied Amount :42500.0
4 , 23/10/2012 04:46:14:777 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091617301Recovered Amount :0.0
4 , 23/10/2012 04:46:14:777 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091617301Default Amount :37036.0
4 , 23/10/2012 04:46:14:777 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:793 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:793 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090766901Oustanding Amount :15000.0
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090766901Approved Application Amount :15000.0
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090766901Claim Applied Amount :12694.0
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090766901Recovered Amount :0.0
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090766901Default Amount :106742.0
4 , 23/10/2012 04:46:14:793 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:793 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:809 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:809 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA110000701Oustanding Amount :94387.0
4 , 23/10/2012 04:46:14:809 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA110000701Approved Application Amount :104500.0
4 , 23/10/2012 04:46:14:824 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA110000701Claim Applied Amount :86071.0
4 , 23/10/2012 04:46:14:824 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA110000701Recovered Amount :0.0
4 , 23/10/2012 04:46:14:824 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA110000701Default Amount :1642112.0
4 , 23/10/2012 04:46:14:824 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:824 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:871 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:871 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091695101Oustanding Amount :60000.0
4 , 23/10/2012 04:46:14:871 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091695101Approved Application Amount :60000.0
4 , 23/10/2012 04:46:14:871 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:887 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091695101Claim Applied Amount :51000.0
4 , 23/10/2012 04:46:14:887 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767301Oustanding Amount :14287.0
4 , 23/10/2012 04:46:14:887 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091695101Recovered Amount :0.0
4 , 23/10/2012 04:46:14:887 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767301Approved Application Amount :15000.0
4 , 23/10/2012 04:46:14:887 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091695101Default Amount :50000.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767301Claim Applied Amount :11001.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883801Oustanding Amount :5864.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767301Recovered Amount :0.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883801Approved Application Amount :6000.0
4 , 23/10/2012 04:46:14:902 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090767301Default Amount :15000.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883801Claim Applied Amount :4964.0
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:902 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883801Recovered Amount :0.0
4 , 23/10/2012 04:46:14:918 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:918 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883801Default Amount :94387.0
4 , 23/10/2012 04:46:14:918 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:918 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:996 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:996 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091000301Oustanding Amount :34502.0
4 , 23/10/2012 04:46:15:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091000301Approved Application Amount :50000.0
4 , 23/10/2012 04:46:15:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091000301Claim Applied Amount :29346.0
4 , 23/10/2012 04:46:15:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091000301Recovered Amount :0.0
4 , 23/10/2012 04:46:15:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091000301Default Amount :60000.0
4 , 23/10/2012 04:46:15:011 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:15:027 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:15:027 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:15:027 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:15:027 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090156401Oustanding Amount :120000.0
4 , 23/10/2012 04:46:15:027 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091445801Oustanding Amount :50000.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090156401Approved Application Amount :120000.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091445801Approved Application Amount :50000.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090156401Claim Applied Amount :90000.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091445801Claim Applied Amount :50000.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090156401Recovered Amount :0.0
4 , 23/10/2012 04:46:15:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091445801Recovered Amount :0.0
4 , 23/10/2012 04:46:15:058 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090156401Default Amount :14287.0
