4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090628601Claim Applied Amount :10070.0
4 , 23/10/2012 04:45:41:174 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:174 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101305301Default Amount :10571.94
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101101401Oustanding Amount :4966.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101568701Oustanding Amount :68580.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101101401Approved Application Amount :6900.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101568701Approved Application Amount :90000.0
4 , 23/10/2012 04:45:41:190 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101101401Claim Applied Amount :3773.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101568701Claim Applied Amount :53617.15
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101101401Recovered Amount :0.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101568701Recovered Amount :0.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101101401Default Amount :4033.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101568701Default Amount :11846.0
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:190 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:190 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:206 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:252 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:252 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101427701Oustanding Amount :80000.0
4 , 23/10/2012 04:45:41:252 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101427701Approved Application Amount :80000.0
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101427701Claim Applied Amount :68000.0
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101427701Recovered Amount :0.0
4 , 23/10/2012 04:45:41:268 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101427701Default Amount :81277.0
4 , 23/10/2012 04:45:41:268 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090764201Oustanding Amount :21942.0
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100907301Oustanding Amount :1710599.0
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090764201Approved Application Amount :25000.0
4 , 23/10/2012 04:45:41:268 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:268 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100907301Approved Application Amount :1790000.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090764201Claim Applied Amount :15964.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100907301Claim Applied Amount :1342500.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090764201Recovered Amount :0.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100907301Recovered Amount :0.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100907301Default Amount :4966.0
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090764201Default Amount :68580.0
4 , 23/10/2012 04:45:41:284 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:284 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:284 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:330 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:346 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091114201Oustanding Amount :50000.0
4 , 23/10/2012 04:45:41:346 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091114201Approved Application Amount :50000.0
4 , 23/10/2012 04:45:41:346 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091114201Claim Applied Amount :42500.0
4 , 23/10/2012 04:45:41:346 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091114201Recovered Amount :0.0
4 , 23/10/2012 04:45:41:346 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091114201Default Amount :80000.0
4 , 23/10/2012 04:45:41:362 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:362 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:362 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102243401Oustanding Amount :23253.0
4 , 23/10/2012 04:45:41:362 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:362 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:362 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102243401Approved Application Amount :25000.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100605401Oustanding Amount :1294000.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102243401Claim Applied Amount :22453.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100605401Approved Application Amount :1294000.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102243401Recovered Amount :0.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100605401Claim Applied Amount :1294000.0
4 , 23/10/2012 04:45:41:377 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102243401Default Amount :1710599.0
4 , 23/10/2012 04:45:41:393 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100605401Recovered Amount :0.0
4 , 23/10/2012 04:45:41:393 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:393 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100605401Default Amount :21942.0
4 , 23/10/2012 04:45:41:393 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:393 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:393 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:424 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:424 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS090199801Oustanding Amount :196934.0
4 , 23/10/2012 04:45:41:424 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS090199801Approved Application Amount :200000.0
4 , 23/10/2012 04:45:41:424 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS090199801Claim Applied Amount :144954.0
4 , 23/10/2012 04:45:41:424 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS090199801Recovered Amount :0.0
4 , 23/10/2012 04:45:41:440 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AS090199801Default Amount :50000.0
4 , 23/10/2012 04:45:41:440 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:440 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:455 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045101Oustanding Amount :14769.0
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045101Approved Application Amount :15000.0
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045101Claim Applied Amount :12459.3
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045101Recovered Amount :0.0
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI110045101Default Amount :23253.0
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:455 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:455 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041101Oustanding Amount :12943.0
4 , 23/10/2012 04:45:41:471 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041101Approved Application Amount :25000.0
4 , 23/10/2012 04:45:41:471 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041101Claim Applied Amount :9708.0
4 , 23/10/2012 04:45:41:471 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041101Recovered Amount :0.0
4 , 23/10/2012 04:45:41:471 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041101Default Amount :1294000.0
4 , 23/10/2012 04:45:41:471 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:471 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:502 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111501Oustanding Amount :50000.0
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111501Approved Application Amount :50000.0
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111501Claim Applied Amount :42500.0
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111501Recovered Amount :0.0
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091111501Default Amount :196934.0
4 , 23/10/2012 04:45:41:502 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:502 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:518 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:518 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101314701Oustanding Amount :204104.0
4 , 23/10/2012 04:45:41:518 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101314701Approved Application Amount :300000.0
4 , 23/10/2012 04:45:41:518 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101314701Claim Applied Amount :204104.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101314701Recovered Amount :0.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101314701Default Amount :14769.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:533 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:533 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537901Oustanding Amount :12000.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537901Approved Application Amount :12000.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537901Claim Applied Amount :10200.0
4 , 23/10/2012 04:45:41:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537901Recovered Amount :0.0
4 , 23/10/2012 04:45:41:549 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537901Default Amount :12943.0
4 , 23/10/2012 04:45:41:549 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:549 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:580 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101829501Oustanding Amount :100000.0
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101829501Approved Application Amount :100000.0
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101829501Claim Applied Amount :85000.0
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101829501Recovered Amount :0.0
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101829501Default Amount :50000.0
4 , 23/10/2012 04:45:41:580 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:580 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:596 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100954701Oustanding Amount :5095.0
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100954701Approved Application Amount :7150.0
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100954701Claim Applied Amount :3876.0
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100954701Recovered Amount :0.0
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100954701Default Amount :204104.0
4 , 23/10/2012 04:45:41:596 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:596 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:596 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090678001Oustanding Amount :99000.0
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090678001Approved Application Amount :99000.0
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090678001Claim Applied Amount :99000.0
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090678001Recovered Amount :0.0
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090678001Default Amount :12000.0
4 , 23/10/2012 04:45:41:611 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:611 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:642 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090522501Oustanding Amount :50000.0
4 , 23/10/2012 04:45:41:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090522501Approved Application Amount :50000.0
4 , 23/10/2012 04:45:41:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090522501Claim Applied Amount :41840.0
4 , 23/10/2012 04:45:41:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090522501Recovered Amount :0.0
4 , 23/10/2012 04:45:41:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090522501Default Amount :100000.0
4 , 23/10/2012 04:45:41:674 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:674 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:674 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:674 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100474801Oustanding Amount :196632.0
4 , 23/10/2012 04:45:41:674 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100474801Approved Application Amount :250000.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090598601Oustanding Amount :250000.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100474801Claim Applied Amount :136000.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090598601Approved Application Amount :250000.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100474801Recovered Amount :0.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090598601Claim Applied Amount :233501.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100474801Default Amount :5095.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090598601Recovered Amount :0.0
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:689 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090598601Default Amount :99000.0
4 , 23/10/2012 04:45:41:689 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:705 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:705 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:736 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091315301Oustanding Amount :500000.0
4 , 23/10/2012 04:45:41:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091315301Approved Application Amount :500000.0
4 , 23/10/2012 04:45:41:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091315301Claim Applied Amount :375000.0
4 , 23/10/2012 04:45:41:752 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091315301Recovered Amount :0.0
4 , 23/10/2012 04:45:41:752 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091315301Default Amount :50000.0
4 , 23/10/2012 04:45:41:752 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:752 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:767 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:767 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090705401Oustanding Amount :95000.0
4 , 23/10/2012 04:45:41:767 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090705401Approved Application Amount :95000.0
4 , 23/10/2012 04:45:41:783 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090705401Claim Applied Amount :80750.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090048201Oustanding Amount :278625.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090705401Recovered Amount :0.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090048201Approved Application Amount :400000.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090705401Default Amount :196632.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090048201Claim Applied Amount :210912.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090048201Recovered Amount :0.0
4 , 23/10/2012 04:45:41:783 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090048201Default Amount :250000.0
4 , 23/10/2012 04:45:41:783 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:783 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:830 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100654501Oustanding Amount :271000.0
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100654501Approved Application Amount :271000.0
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100654501Claim Applied Amount :179529.0
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100654501Recovered Amount :0.0
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100654501Default Amount :500000.0
4 , 23/10/2012 04:45:41:830 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:830 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:892 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:892 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:892 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090488601Oustanding Amount :14569.0
